Amharic,Oromo
በንግግር ጊዜ አንድ ሰው ስለሌላው ሰው አንዳንድ ነገሮችን በቀላሉ ማወቅ ይችላል።,Haasaa keessatti namni tokko waaʼee nama isa kaanii wantoota tokko tokko salphaatti baruu hin oolu.
በዩናይትድ ስቴትስ የህክምና ዶክተር ለመሆን ቢያንስ ስምንት ኣመት ኮሌጅ ያስፈልጋል።,Ameerikaatti doktora fayyaa ta'uuf yoo xiqqaate waggaa saddeet kolleejjii fudhata.
ጥያቄው ለእርስዎ በጣም ቀላል የሆነ ይመስላል። በሚቀጥለው ጊዜ፣ ትንሽ ልከብደው።,Gaaffiin sun baayyee siif salphaa ture fakkaata. Yeroo itti aanutti xiqqoo akkan itti ulfaatu gochuun qaba.
ኬክ መቃጠሉ የኔ ጥፋት ነው። በስልክ እያወራሁ ነበር እና ሰኣቱን አላስተዋልኩም።,Keekichi gubachuun isaa badii kooti. Bilbilaan haasa'aa waanan tureef sa'aatii hin hubanne.
ማንም ሰው በተፈጥሮው ማድረግ የማይወደውን ነገር ለማድረግ ሲገደድ ስኬትን ወይም ደስታን አያገኝም።,Namni kamiyyuu waan uumamaan hojjechuu hin jaallanne hojjechuuf yeroo dirqamu milkaa'ina ykn gammachuu hin argatu.
በኪንግ ምርምር ውስጥ የተጠቀሰው መረጃ የተወሰደው በ1970 ዩኔስኮ ከወጣው የነጭ ወረቀት የኣለም ህዝብን ነው።,Daataan qorannoo King keessatti caqasame waraqaa adii UNESCOn bara 1970 baay'ina ummata addunyaa irratti baase irraa kan fudhatamedha.
የሮማን ግዛት መስፋፋት እጅግ በጣም ብዙ የመጀመሪያዎቹን የአውሮፓ ቋንቋዎች ጠራርጎ አጠፋ።,Babal'inni impaayera Roomaa afaanota Awurooppaa jalqabaa baay'ee haxaa'e.
ጠንቋዩ እና ሽማግሌው ጠንቋይ በክንፉ ስር ወሰደኝ እና ስለ አስማት የሚያውቀውን ሁሉ አስተማረኝ።,Falfalaan dulloomaan wizened ta'e sun baallee isaa jala na galchee waa'ee falfalaa waan beeku hunda na barsiise.
ሁሉም በተመሳሳይ ጊዜ ለመነጋገር ከሚጥሩ ወጣት ልጃገረዶች ቡድን የበለጠ የሚያበሳጭ ነገር የለም።,Gareen shamarran xixiqqoo hundi isaanii yeroo tokkotti haasa'uuf yaalan caalaa wanti nama aarsu hin jiru.
ቶም በቦስተን ለተጨማሪ ሶስት ሳምንታት መቆየት እንዳለባት እንዳሰበ ለማርያም ደውላ ይነግራታል።,Toom torban sadii dabalataaf Booston turuu akka qabdu akka yaade itti himeetti bilbile.
ብዙውን ጊዜ የምናደንቀው አንድን ሰው ወይም ከእነሱ ጋር ያለንን ግንኙነት ስናጣ ብቻ ነው።,Yeroo baayyee nama tokko ykn hariiroo isaa wajjin qabnu dinqisiifachuu kan dhufnu yeroo nama dhabne qofa.
ከአንድ ሰው ጋር ለመጀመሪያ ጊዜ ስታገኛቸው ከዚህ ሰው ጋር ምን ያህል ቅርበት እንዳለህ ተጠንቀቅ።,"Yeroo jalqabaatiif nama tokko wajjin yommuu wal argitu, hammam nama sanatti dhihoo akka dhaabattu of eeggadhu."
አንድ ነገር ሲደርስባቸው ምን አይነት ህመም ሊሰማዎት እንደሚችል ልጅ እስክትወልድ ድረስ አታውቅም።,Hanga mucaa godhatteetti dhukkubbiin akkamii yeroo wanti tokko isaan mudatu sitti dhaga'amuu akka danda'u hin beektu.
ሞቴል ልክ እንደ ሆቴል በጣም ትንሽ ነው እና በአብዛኛው በመኪና ለሚጓዙ ሰዎች ጥቅም ላይ ይውላል።,Mooteelli akka hoteela baayyee xiqqaa qofa kan ta'ee fi irra caalaa namoota konkolaataa imalaniin kan itti fayyadamanidha.
ልክ ልጄ የቤተሰባችንን ፎቶዎች እንዲቃኝ እንዳደርግ፣ አንዳንዶቹን ወደ ድረ ገፃችን እሰቅላለሁ።,"Akkuma ilmi koo suuraa maatii keenyaa akka scan godhu gochuu danda'een, muraasa isaanii gara marsariitii keenyaatti ol kaa'a."
በሆነ ምክንያት ከህንድ ከተመለስኩበት ጊዜ ጀምሮ ሰዎች እንደ ወረርሽኙ ይርቁኝ ነበር።,Sababaa tokkoof erga ani Hindii irraa deebi'ee kaasee namoonni akka dha'ichaatti na irraa fagaachaa turan.
ከሰአት በኋላ የጠጣሁት ቡና ሁሉ ጥሩ እንቅልፍ ያልተኛሁት ይመስለኛል።,Bunni waaree booda dhugee ture hundinuu waanan hirriba gaarii hin rafneef natti fakkaata.
ቶም እና ቶም ብቻ ሊያደርጉት የሚችሉት ይመስለኛል። ይሁን እንጂ አንዳንድ ሰዎች ማርያምም ይህን ማድረግ እንደምትችል ያስባሉ።,"Toomii fi Toom qofatu kana gochuu danda'a jedheen yaada. Haa ta'u malee, namoonni tokko tokko Maariyaam illee gochuu akka dandeessu yaadu."
ሜሪ ቀጥ ያለ ግርፋት ያላቸው ልብሶችን መልበስ ትወዳለች፣ምክንያቱም ቀጭን እንዲመስሉህ ሰምታለች።,"Maariyaam uffata sarara dhaabbataa qabu uffachuu jaallatti, sababiin isaas akka qallattu si fakkeessu dhageesseetti."
ናሙናው ከተወሰደ በኋላ የጥጥ መጨመሪያውን በሙከራ ቱቦ ውስጥ ያስቀምጡ እና በታካሚው ስም ይፃፉ።,"Saamuda erga fudhatamee booda, suufii sana tuubii qorannoo keessa kaa'uun maqaa dhukkubsataa irratti mallattoo kaa'uu."
ፕሮፌሽናል ተርጓሚዎች ብዙውን ጊዜ ልዩ የሚያደርጉት በአንድ መስክ ብቻ ለምሳሌ በህግ ወይም በህክምና።,"Hiiktoonni ogummaa qaban yeroo baay'ee damee tokko qofa irratti adda ta'u, fakkeenyaaf seeraa ykn qoricha."
በጥቅምት 1962 በኩባ ሚሳኤል ቀውስ ወቅት ኣለም በኒውክሌር ጦርነት አፋፍ ላይ ነበረች።,Addunyaan yeroo Rakkoo Misaa'ela Kuubaa Onkoloolessa bara 1962tti qarqara waraana niwukilaraa irra turte.
"ይህ ትንሽ ፕሮግራም በጣም ጠቃሚ ይሆናል, በተለይም ብዙ ጊዜ የወለድ ስሌት ካደረጉ።","Sagantaan xiqqaan kun baay'ee faayidaa qaba, keessumaa yeroo baay'ee shallaggii dhala yoo hojjettan."
እኛ ሰዎች አንድ ነገር እንዳደረግን ከድምዳሜያችን ጋር እንዲስማማ ለማድረግ ጥሩ የማጣመም መንገድ አለን።,Nuti ilmaan namootaa akkuma xumura tokko gooneen xumura keenyaa wajjin akka walsimuuf dhugaawwan garagalchinu karaa guddaa qabna.
በአንድ ቋንቋ ጨዋነት የጎደለው ተብሎ የሚታሰበው ነገር በሌላ ቋንቋ እንደ ጨዋነት ሊቆጠር አይችልም።,Wanti afaan tokkoon safuu akka hin qabneetti ilaalamu afaan biraatiin akka safuu hin qabneetti ilaalamuu dhiisuu danda'a.
በህይወት ውስጥ ዋናው ነገር አሁን ያለህበት ሳይሆን የምትሄድበት አቅጣጫ ነው።,"Jireenya keessatti wanti barbaachisaa ta'e bakka amma jirtu osoo hin taane, kallattii ati itti deemtudha."
"በባህር ላይ በሚወጣበት ጊዜ, የተያዙት ኣሶች እንዳይበላሹ ለማድረግ, ወዲያውኑ በማቀዝቀዣ ውስጥ ይቀመጣል።",Yeroo galaana keessa ba'an qurxummiin qabame akka hin mancaane gochuuf battaluma sanatti firijii keessa kaa'ama.
የውቅያኖስ አሲዳማነት ከጊዜ በኋላ የታላቁ ባሪየር ሪፍ ህልውናን አደጋ ላይ ይጥላል።,"Asiidiin galaana, yeroon darbaa deemuun, jiraachuu Great Barrier Reef balaadhaaf saaxila."
ቤተ ክርስቲያን መሄድ ጋራዥ ውስጥ መቆም መኪና ከማድረግ ያለፈ ክርስቲያን አያደርግህም።,Waldaa dhaquun akkuma garaajee keessa dhaabbachuun konkolaataa si godhutti kiristaana si hin godhu.
"ይህን ማድረግ ቀላል ይሆናል ብዬ አስቤ ነበር, ግን ቀኑን ሙሉ እየሰራን ነበር እና አሁንም አልጨረስንም።","Kana gochuun salphaa ta'a jedheen yaade, garuu guyyaa guutuu hojjechaa turre ammallee hin xumurre."
እየቀለድኩህ አይደለም። አንዳንድ ሰዎች ኣለም ስድስት ሺህ ኣመት ብቻ እንደሆነች ያምናሉ።,Ani sitti qoosaa hin jiru. Namoonni tokko tokko dhugumatti addunyaan kun waggaa kuma jaha qofa akka taʼe ni amanu.
እንዳልከው በቀጥታ ወደ ቤት ከሄድክ መኪናህን ከመጠጥ ቤቱ ውጭ ቆሞ እንዴት አየሁት?,Akkuma jette kallattiin gara manaatti yoo deemte akkamittan konkolaataan kee mana dhugaatii ala dhaabatee arge?
ልምድ ያለው ሰው ልምድ ከሌለው ሰው የተሻለ ይሰራል ማለት አያስፈልግም።,Namni muuxannoo qabu nama muuxannoo hin qabne caalaa hojjeta jechuun hin barbaachisu.
ሰዎች ድረ-ገፆችን ለመጠቀም ሲመዘገቡ የውሸት የግል መረጃ መስጠት የተለመደ ነገር አይደለም።,Namoonni yeroo marsariitii fayyadamuuf galmaa'an odeeffannoo dhuunfaa sobaa kennuun waan hin baratamne miti.
ብዙ ጊዜ የውጭ ቋንቋ ለመማር ምርጡ መንገድ ከአፍ መፍቻ ቋንቋ መማር ነው ይባላል።,Yeroo baayyee afaan alagaa barachuuf karaan hundarra gaariin nama dhalootaan dubbatu irraa barachuudha jedhama.
እሱ የሚፈልጋቸው አብዛኞቹ ግልፅ፣ ቀላል እና የእለት ተእለት ነገሮች በአማካኝ ሰዎች ሊጠበቁ ይችላሉ።,"Wantoonni ifa, salphaa, guyyaa guyyaa inni hawwu irra caalaan isaanii namoota qabeenya giddu galeessaa qabaniin mirkanaa'uu danda'u."
ሞዛርት እርስዎ ወይም እኔ ደብዳቤ እንድፅፍ ቀላል፣ ውስብስብ የሙዚቃ ቅንብር ፃፈ።,Mozart akkuma ani ykn ati xalayaa barreessinu salphaatti qindeessaa muuziqaa qaroo fi walxaxaa barreesse.
ሰዎች ሲመርጡ መውደድ ሊጀምሩ ይችላሉ ነገርግን ፍቅርን ለማጥፋት ምርጫ የላቸውም።,"Namoonni yeroo filatanitti jaalala jalqabuu danda'u, jaalala xumuruuf garuu filannoo hin qaban."
ብዙ ጊዜ ውሻዋን ለመመገብ ከሰራችበት ሬስቶራንት የቤት ጠረጴዛ ፍርስራሾችን ታመጣለች።,Yeroo baayyee mana nyaataa isheen hojjettu irraa citaa minjaala manaa fiddee saree ishee nyaachifti turte.
መልስ ስላላገኘሁ ምናልባት ደብዳቤዬ ላንቺ አልደረሰም ወይ ብዬ እያሰብኩ ነበር።,Deebii waanan hin arganneef tarii poostaan koo gonkumaa isiniif hin geenye jedheen yaadaa ture.
"በአንድ ጊዜ በፊቱ ከአንድ በላይ ችግር መኖሩ ያበሳጫል, ያበሳጫል እና ያበሳጫል።","Yeroo tokkotti rakkoo tokkoo ol isa dura qabaachuun akka aaruu, mufachiisu fi akka aaru isa taasisa."
በወንጀል ቦታ ምን እንደተከሰተ ለመወሰን የደም መፍሰስ ትንተና ወሳኝ ሚና ይጫወታል።,Xiinxalli dhiiga dhangala'u bakka yakki itti raawwatame tokkotti maaltu akka ta'e murteessuuf gahee guddaa qaba.
ቀናት ወደ ሳምንታት ተለውጠዋል፣ ሳምንታት ወደ ወር ተለውጠዋል እና ሳናውቀው ሌላ አመት አለፈ።,"Guyyoonni gara torbanitti, torbaniin gara ji'aatti jijjiiramee, osoo nuti hin beekin waggaa biraa darbe."
ክሬኑ ስደተኛ ወፍ እንደሆነ እና እስከ መቶ ኪሎ ግራም እንደሚደርስ ያውቃሉ?,Kireeniin kun simbirroo godaantuu ta'uu fi hanga kiiloo dhibba tokkoo ol kaasuu akka dandeessu beektu?
ሰርጎ ገቦች የኩባንያውን የኮምፒዩተር ሲስተም ሰብረው በመግባት የኔትዎርክ ደህንነትን ሊያበላሹ ችለዋል።,Haakeroonni sirna kompiitaraa dhaabbatichaa cabsanii seenuun nageenya neetworkii isaa miidhuu danda'aniiru.
እሱ ብዙውን ጊዜ ቀጥተኛ እና ቅን ነው እናም በእሱ በሚገናኙት ሰዎች መተማመንን ያገኛል።,Yeroo baay'ee nama qajeelaa fi garaa qulqulluu waan ta'eef amantaa namoota isa qunnaman ni argata.
ዛሬ ብዙ የምሰራው ነገር ስላለኝ ቅር ካላላችሁ በሌላ ጊዜ ይህን ውይይት ማድረግ እፈልጋለሁ።,Har'a waan baay'ee waanan qabuuf yoo isin hin dhibne yeroo biraatti marii kana gochuun barbaada.
በጉዳዩ ላይ ጠንካራ አስተያየት የለኝም ስለዚህ ብዙሃኑ ጥሩ ነው ብለው የሚያስቡት ሁሉ በእኔ ዘንድ ደህና ነው።,"Dhimma kana irratti yaada cimaa waanan hin qabneef, wanti harki caalaan gaariidha jedhee yaadu kamiyyuu naaf OK dha."
ቀኑን ሙሉ እቤት ውስጥ ለመቆየት ሞከርኩ ፣ ግን ወደ ውጭ ወጣሁ እና በአትክልቱ ውስጥ ተቀመጥኩ።,"Guyyaa guutuu mana keessa turuuf yaaleen ture, garuu ala bahee iddoo biqiltuu keessa taa'een xumure."
ይህንን ቀመር በመጠቀም የኤሌክትሪክ መስክን ካሰሉ ውጤቱ እንደሚከተለው ይወጣል።,Hima walqixaa kana fayyadamuun dirree elektirikii yoo shallagde bu'aan akka armaan gadiitti ba'a.
እኔ የማስበውን አይነት ስኬት ለማግኘት ከፈለግክ የበለጠ ማጥናት አለብህ።,"Milkaa'ina ani akkan yaadutti galmaan gahuu yoo barbaadde, sana booda cimtee barachuu qabda."
በምንለያይባቸው መንገዶች ላይ ከማተኮር ይልቅ የምንመሳሰልባቸው መንገዶች ላይ እናተኩር።,Karaalee adda taane irratti xiyyeeffachuu mannaa karaa wal fakkaanne irratti haa xiyyeeffannu.
ሰኞ፣ ማክሰኞ፣ ረቡእ፣ ሀሙስ፣ አርብ፣ ቅዳሜ እና እሁድ የሳምንቱ ሰባት ቀናት ናቸው።,"Isniina, Kibxata, Roobii, Kamisa, Jimaata, Dilbata fi Wiixata guyyoota torban torbaniiti."
በአለም ላይ ሶስት አይነት ሰዎች አሉ፡ መቁጠር የሚችሉ እና የማይችሉ።,"Addunyaa kana irratti namoonni gosa adda addaa sadii qabu warra lakkaa'uu danda'anii, warra hin dandeenye."
በጠረጴዛው ላይ ከተሞላው የፋይል ትሪ ሌላ በክፍሉ ውስጥ ያለው ነገር ሁሉ ወለሉ ላይ ነበር።,"Saanii galmee waraqaawwan deeskii irratti guutame irraa kan hafe, wanti kutaa sana keessa jiru hundi lafa ture."
ለተሻለ ክፍያ እና የስራ ሁኔታ የቆሻሻ መጣያ ሰራተኞች በሰላማዊ መንገድ የስራ ማቆም አድማ ለማድረግ ወደዚያ ሄዶ ነበር።,Hojjettoonni balfaa kaffaltii fi haala hojii fooyya'aa argachuuf nagaan akka hojii dhaaban gargaaruuf achi dhaqee ture.
ጤናን ለመጠበቅ አንዱ መንገድ ምንም አይነት ምግብ በማይታወቁ ንጥረ ነገሮች ከመብላት መቆጠብ እንደሆነ ሰምቻለሁ።,Karaan fayyaa ittiin jiraannu tokko nyaata wantoota hin dubbatamne qaban kamiyyuu nyaachuu irraa fagaachuu akka ta'e dhaga'eera.
በነገው ስብሰባ ላይ ስለሚነሳው ነገር አንዳች ነገር እንደሰማህ ለማወቅ ፈልጌ ነበር።,Walgahii boruu irratti waan irratti mari'atamu irratti waan dhageessanii jirtan beekuu barbaade.
ብዙም ነገር እየሰራሁ ስላልነበር ወደ ካፌው መውረድ ጥሩ ሀሳብ እንደሆነ ወሰንኩ።,Dhuguma waan baay'ee hojjechaa waanan hin turreef gara kaaffee sanaatti gadi bu'uun gaarii ta'a jedheen murteesse.
ብዙ ጓደኞቼ እያደጉ ሲሄዱ ክብደቴን ቢጨምርም ክብደቴን ቀነስኩ።,Hiriyoonni koo hedduun akkuma umuriin isaanii dabalaa dhufeen ulfaatina qaamaa dabalus ulfaatina koo gadi buuseera.
በበኣል ሰሞን ካሉት ምርጥ ክፍሎች አንዱ በህይወትዎ ውስጥ ካሉ ልዩ ሰዎች ጋር ጊዜ ማሳለፍ ነው።,Yeroo ayyaanaa keessatti wantoota gaarii ta'an keessaa tokko namoota addaa jireenya kee keessatti argaman waliin yeroo dabarsuudha.
ይዋል ይደር እንጂ እያንዳንዱ ወላጅ ከልጆቻቸው ጋር ስለ ወፎች እና ንቦች ማውራት አለባቸው።,Yeroo gabaabaa keessattis warri hundi waa'ee simbirrootaa fi beeyladaa ijoollee isaanii wajjin haasa'uu qabu.
ኩባንያው ብዙ ሰራተኞችን በመቅጠር እና የስራ ልምዶችን በማቀላጠፍ ሽያጩን ማሳደግ ችሏል።,Dhaabbatichi hojjettoota hedduu qacaruu fi gocha hojii sirreessuudhaan gurgurtaa guddisuu danda'eera.
ጓደኛዎችዎ እንዴት በወጣትነትዎ ላይ ማሞገስ ሲጀምሩ ፣እርጅና መሆኖን የተረጋገጠ ምልክት ነው።,"Hiriyoonni kee hammam dargaggeessa fakkaattu irratti yeroo sitti qoosuu jalqaban, mallattoo mirkanaaʼaa akka ati dulloomuudha."
ሰዎች እንግሊዘኛህ ጥሩ ነው ብለው ማመስገናቸውን ሲያቆሙ እንግሊዘኛህ ጥሩ እንደሆነ ታውቃለህ።,Afaan Ingiliffaa kee gaarii ta'uu kan beektu yeroo namoonni Afaan Ingiliffaa kee hammam gaarii akka ta'e si galateeffachuu dhiisan.
የቻይና ባለስልጣናት በአለም ኢኮኖሚ ምክንያት የኢኮኖሚ እድገት ወደ ሶስት አመት ዝቅ ማለቱን ተናግረዋል ።,Qondaaltonni Chaayinaa sababa diinagdee addunyaatiin guddinni diinagdee waggoota sadii keessatti gadi bu'eera jedhu.
እንደ ሞርፊን፣ ፐርኮሴት፣ ቪኮዲን እና ኦክሲኮንቲን ያሉ ለእርስዎ ያልተገለፁ ኦፒያቶችን ትጠቀማለህ?,"Opiates kan akka morphine, Percocet, Vicodin, fi OxyContin, kan siif hin ajajamne fayyadamtuu?"
ልጃገረዶች ጉርምስና የሚጀምሩት ከአስር እስከ አስራ አንድ አመት ሲሆን ወንዶች ደግሞ ከአስራ አንድ እስከ አስራ ሁለት አመት ባለው ጊዜ ውስጥ ነው።,"Shamarran naannoo umrii kudhanii hanga kudha tokkootti, dhiironni ammoo naannoo waggaa kudha tokkoo hanga kudha lamaatti dargaggummaa jalqabu."
የንፋሱን አቅጣጫ መቀየር አልችልም፣ ነገር ግን ሁልጊዜ መድረሻዬ ለመድረስ ሸራዬን ማስተካከል እችላለሁ።,"Kallattii qilleensaa jijjiiruu hin dandaʼu, garuu yeroo hunda bakkan deemu akkan gaʼuuf doonii koo sirreessuu nan dandaʼa."
መክሰስ አልወድም። ውድ፣ ጫጫታ እና በትምባሆ እና የተጠበሰ ምግብ ሽታ የተሞሉ ናቸው።,"Nyaata salphaa hin jaalladhu. Qaaliidha, sagalee guddaa kan qabaniifi urgaa tamboo fi nyaata fooliin isaa jijjiirameen kan guutamanidha."
በሌሊት ሴሎህን እንዳትጫወት ነግሬህ ነበር ፣ ግን አድርገሃል እና አሁን ጎረቤቶች ቅሬታ አቅርበዋል ።,"Halkan gara galgalaa seeloo kee akka hin taphatin siin jedhe, garuu ati taphatte amma ollaan komataniiru."
እየለመንኩህ ነው። አታስቁኝ። ትላንትና ብዙ ተቀምጬ ነበር እና የሆድ ጡንቻዬ ተጎዳ።,Si kadhachaa jira. Na hin kolfinaa. Kaleessa sit-up baay'een hojjedheen maashaaleen garaa koo na dhukkube.
ክብደትን መቀነስ ከፈለግክ ጥሩው ነገር በአግባቡ መመገብ እና ብዙ የአካል ብቃት እንቅስቃሴ ማድረግ ነው።,"Yoo ulfaatina qaamaa hir'isuu barbaadde, sana booda wanti hundarra gaariin nyaata sirnaan nyaachuu fi sochii qaamaa baay'ee gochuudha."
እንደ ተወላጅ ተናጋሪ ለማለፍ የሚሞክር ሰላይ ከሆንክ እና በዚህ መንገድ ከተናገርክ ምናልባት ልትያዝ ትችላለህ።,Osoo basaasaa akka nama afaan dhalootaa dubbatuutti darbuuf yaaltee akkasitti dubbatte qabamuun kee hin oolu.
አረም መጎተት ከመጀመራችን በፊት የአትክልት ስፍራው እንዴት እንደሚታይ ፎቶግራፍ ለማንሳት በጭራሽ አልታየኝም።,Osoo marga harkisuu hin jalqabin dura akkaataa iddoon biqiltuu sun itti mul'atu suuraa kaasuun natti hin dhufne.
ቶም ምንም ያህል ስራ ቢበዛበት ቢያንስ በሳምንት አንድ ጊዜ ለእናቱ ኢሜል መፃፍ አይረሳም።,Toom hammam hojiin itti baay'atullee yoo xiqqaate torbanitti al tokko haadha isaaf iimeelii barreessuu hin dagatu.
በዚህ ድርጅት ውስጥ ሁሉም አለቆች ስለሆኑ ህንዳውያን ስለሌሉ፣ ማንኛውም ውሳኔ ቢደረግ ይገርማል።,Dhaabbata kana keessatti hundi isaanii hogganaa waan ta'aniif lammiilee Hindii waan hin qabneef murtoon kamiyyuu yoo murtaa'u waan ajaa'ibaati.
አንዳንድ ሰዎች በጎርፍ ውሃ እንዳይታጠቡ በዛፍ ቅርንጫፎች ላይ ለብዙ ሰኣታት ተጣብቀዋል።,Namoonni tokko tokko bishaan lolaa kanaan akka hin dhiqamneef sa'aatii hedduudhaaf damee mukaatti maxxananiiru.
የእጅ ባለሙያው አስራ ሁለት ሰኣት ላይ መድረስ ነበረበት፣ ነገር ግን ለጥቂት ሰኣታት በትራፊክ መጨናነቅ ውስጥ ቀረ።,"Ogeessi harkaa kun sa'aatii kudha lamatti dhufuu qaba ture, garuu sa'aatii muraasaaf konkolaataa cufame keessatti qabame."
ፕሬስ ፕሬዝዳንቱን ታክስ ላለማሳደግ የገቡትን ቃል በመሻር ፕሬዝዳንቱን ያለማቋረጥ ሲያባርሩ ቆይተዋል።,Preesiin pirezidaantichi waadaa gibira akka hin kaafne galan irraa ganuu isaanii dhaabbachuu malee ari'aa turaniiru.
ቶም በአጠቃላይ ያጋጠመውን ሁኔታ በተጨባጭ በመገምገም ጥሩ ውሳኔዎችን ያደርጋል።,Toom akka waliigalaatti murtoo gaarii kan murteessu haala isa mudate haala qabatamaa taʼeen madaaluudhaani.
የፈለከውን ያህል ማፋጠን ትችላለህ፣ ነገር ግን መኪናው በገለልተኝነት ስለሆነ፣ የትም አንሄድም።,"Hamma barbaadde saffisa ol kaasuu dandeessa, garuu konkolaataan kun neutral waan ta'eef eessayyuu hin deemnu."
ከሌሎች ወንዶች እና ሴቶች ትብብር፣ እምነት እና አጋርነት በቀር ሩቅ መሄድ አይችሉም።,"Walta'iinsa, ofitti amanamummaa fi jaalalummaa dhiiraa fi dubartoota biroo malee yoomiyyuu fagoo hin deemtu."
በየትኛውም ሀገር ውስጥ ከፍተኛ መጠን ያለው ወንጀል የሚፈፀመው በአስራዎቹ እና በሃያዎቹ ውስጥ በሚገኙ ወጣት ወንዶች ነው።,Biyya kamiyyuu keessatti yakki baay'inaan kan raawwatamu dargaggoota dhiirota umrii kurnanii fi digdamaa keessa jiranidha.
ላለፉት ስድስት ኣመታት እንግሊዘኛን በትምህርት ቤት የተማርኩ ቢሆንም አሁንም በመናገር ጥሩ አይደለሁም።,"Waggoota jahan darbaniif mana barumsaatti Afaan Ingiliffaa baradheera ta'us, ammallee dubbachuu irratti ga'umsa hin qabu."
የመንግስት ጥበቃ ቢደረግለትም የግድያ ሙከራ ሰለባ ሆኖ ህይወቱ አልፏል።,"Mootummaan eegumsa argatus, yaaliin ajjeechaa isa ajjeese."
ማጨስን መተው በኣለም ላይ በጣም ቀላሉ ነገር ነው። ብዙ ሺህ ጊዜ ስላደረግሁት አውቃለሁ።,Tamboo xuuxuu dhiisuun addunyaa kanarraa waan salphaadha. Yeroo kumaatamaan waanan hojjedheef nan beeka.
እሱ በጣም ቀልጣፋ በሆነ መንገድ እየተከናወኑ ያሉትን ነገሮች አጥብቆ ይጠይቃል እና እሱ ራሱ እንዲሁ ያደርጋቸዋል።,Wantoonni haala hunda caalaa bu'a qabeessa ta'een akka hojjetaman cichee kan hojjetu yoo ta'u yeroo baay'ee ofii isaatii akkasitti hojjeta.
ከሰአት በኋላ የጠጣሁት ቡና ሁሉ ጥሩ እንቅልፍ ያልተኛሁት ይመስለኛል።,Buna waaree booda dhugee ture hundinuu waanan hirriba gaarii hin rafneef natti fakkaata.
ጀርመናዊ እረኛዬን ቤት ለመስበር ሌላውን ውሻዬን ለመስበር ከወሰደው ጊዜ ያነሰ ጊዜ ወስዶብኛል።,"Tiksee koo Jarmanii mana cabsuuf yeroo baayyee xiqqaa natti fudhate, saree koo isa kaan mana cabsuuf natti fudhate caalaa."
እድሜህ ሲጨምር በትክክል መብላት እንድትችል ጥርስህን በሚገባ መንከባከብ አስፈላጊ ነው።,"Ilkaan keessan akka gaariitti kunuunsuun barbaachisaadha, kanaaf yeroo dulloomtan nyaata sirnaan nyaachuu dandeessu."
ባንኩ የኦንላይን አገልግሎታቸው ሲበላሽ ዘግይቶ ክፍያ እንዲከፍል ሀሞት ነበረው።,Baankichi kaffaltii yeroo tajaajilli onlaayinii isaanii kufe ol qabameef kaffaltii yeroon booda kaffalu gaafachuuf gall qaba ture.
ዳኛው እውነትን በመናገር እና በመዋሸት መካከል ያለውን ልዩነት እንደሚያውቅ ተከሳሹን ጠየቀው።,Abbaan murtii himatamaan garaagarummaa dhugaa dubbachuu fi soba dubbachuu gidduu jiru beektaa jedhee gaafate.
በልጅነትህ እንግሊዝኛ መማር ካልጀመርክ በቀር እንደ ተወላጅ ተናጋሪ የመምሰልህ እድሉ አነስተኛ ነው።,"Ijoollummaa kee Ingiliffa barachuu yoo jalqabde malee, akka nama afaan dhalootaa dubbatutti dhaga'amuun kee hin oolu."
ድረ-ገፆችን መንደፍ ስንጀምር በዚህ የአገሪቱ ክፍል እኛ ብቻ ነበርን የምንሰራው።,Yeroo fuula weebsaayitii dizaayinii gochuu jalqabnu kutaa biyyattii kana keessatti kan hojjennu nu qofa ture.
ከሶስት ቀን በኋላ ቆንጆ ሴት ትደክማለህ። ከሶስት ቀን በኋላ አስቀያሚ ሴት ትላመዳለህ።,Dubartii bareedduu guyyaa sadii booda ni dadhabda. Dubartii fokkisaa guyyaa sadii booda ni baratta.
እንደ እንግሊዛዊ፣ በተለይ በእንግሊዘኛ እና በአሜሪካን አጠቃቀም መካከል ያለውን ልዩነት ይገነዘባል።,Akka nama Ingilizii tokkootti garaagarummaa itti fayyadama Ingiliffaa fi Ameerikaa gidduu jiruuf keessumaa miira guddaa qaba.
ከአልጋዬ ከመነሳቴ በፊት የቀረውን ቀን ምን እንደማደርግ በማሰብ ትንሽ ጊዜ አሳልፋለሁ።,Osoon siree irraa hin ka'in guyyaa hafe maal akkan hojjedhu yaaduudhaan yeroo xiqqoo dabarsa.
ትክክለኛውን ቁጥሮች ከጭንቅላቴ አናት ላይ ልሰጥህ አልችልም፣ ነገር ግን እሱን ተመልክቼ ወደ አንተ እመለሳለሁ።,"Lakkoofsa sirrii mataa koo irraa siif kennuu hin danda'u, garuu keessa ilaalee sitti deebi'a."
እንደማይመስል አውቃለሁ ነገር ግን ብዙ ነገሮችን ከትርፍ ክፍሉ አስወግጃለሁ።,"Akka hin fakkaanne nan beeka, garuu dhugumatti kutaa dabalataa keessaa waan baay'ee ofirraa baaseera."
የሚለብሰውን ነገር ለማግኘት ወደ ጓዳዬ ውስጥ ተመለከትኩ፣ ነገር ግን ለበኣሉ ተስማሚ የሆነ ነገር አላገኘሁም።,"Waan uffadhu kaazinaa koo keessa barbaade, garuu waan ayyaanichaaf mijatu hin arganne."
