Amharic	English	Afan Oromo
ያ ቆሻሻ ስራ ነው እና መስራት አልፈልግም።	That's dirty work and I don't want to do it.	Sun hojii xuraa'aa waan ta'eef hojjechuu hin barbaadu.
አድሱን ስራወን እንደት ይወዳሉ።	They like the new work.	Hojiin haaraan keessan akkam isinitti tola.
ክለቡ በስንት ሰአት ነው የሚከፈተው?	What time does the club open?	Kilabichi sa'aatii meeqatti banama?
ምንም ቀጠሮ አያስፈልግም።	No appointment is required.	Beellamni tokkollee hin barbaachisu.
ሁለቱ ወንድማማቾች በጣም ተመሳሳይ ናቸው።	The two brothers are very similar.	Obbolaan lamaan kun baay'ee wal fakkaatu.
ማንም እርግጠኛ አልነበረም።	No one was sure.	Namni guutummaatti mirkaneeffate hin turre.
ያንን መኪና በጣም ወድጀዋለሁ።	I really like that car.	Konkolaataa sana baay'een jaalladha.
አየር ማረፊያው የት ነው?	Where is the airport?	Buufatni xiyyaaraa eessa jira?
ቶም በአደጋ ግራ እጁን ቆሰለ።	Tom injured his left arm in an accident.	Toom balaa mudateen harka bitaa isaa miidhame.
ቶም ለማርያም ደብዳቤወች ለምን አልመለሰም?	Why didn't Tom answer Mary's letters?	Toom xalayaa Maariyaam maaliif hin deebisne?
እሱ የሚንከባከበው ሶስት ትናንሽ ልጆች ያሉት ባልቴት ነው።	He is a widow with three young children to take care of.	Inni nama abbaan manaa irraa du'ee fi ijoollee xixiqqoo sadii kunuunsu qabudha.
ጋዜጣውን የት አስቀመጥከው?	Where did you put the newspaper?	Gaazexaa eessa kaa'atte?
በዚህ አጋጣሚ ጓጉቻለሁ።	I am excited about this opportunity.	Carraa kanaan gammadeera.
እንዳታደርግ ነግሬሃለሁ።	I told you not to.	Akka hin goone sitti himeera.
ሁለት ኬኮች ነበሩ።	There were two cakes.	Keekii lamatu ture.
ደግነቱን ልረሳው አልችልም።	I will never forget his kindness.	Gaarummaa isaa dagachuu hin danda'u.
ይቅርታ ይህ መቀመጫ ነፃ ነው።	Sorry, this seat is free.	Dhiifama, teessoo kun bilisadhaa.
ብዙ ጓደኞች አሏት።	She has many friends.	Hiriyyoota hedduu qabdi.
ፖሊሲውን የሚቃወሙትንም አውግዟል።	He also condemned those who opposed the policy.	Warra imaammata isaa morman balaaleffate.
እኔ ከሱ የተሻልኩ ነኝ።	I am better than him.	Ani isa caala.
አንድ አመት አስራ ሁለት ወራት አሉት።	A year has twelve months.	Waggaan tokko ji'a kudha lama qaba.
በድንጋጤ ውስጥ እየተንከራተተ ነው።	He's wandering around in a daze.	Yaaddoo keessa naanna'aa jira.
በጎች ሳር ይበላሉ።	Sheep eat grass.	Hoolonni marga nyaatu.
እኔ አስተማሪ ብቻ ነኝ።	I am only a teacher.	Ani barsiisaa qofa.
ለምን አልሰማሽኝም?	Why didn't you hear me?	Maaliif na hin dhaggeeffanne?
ሂሳቡን አስተካክለውታል።	I fixed the bill.	Kaffaltii sana sirreessiteettaa.
በጥላቻ ተመለከተችው።	She looked at him with disgust.	Isheenis jibbaan isa ilaalte.
የበለጠ እየበራ ነው።	It's getting brighter.	Irra caalaa ifee jira.
ከጥቂት ቀናት በፊት ሆስፒታል ነበርኩ።	I was in the hospital a few days ago.	Guyyoota muraasa dura hospitaalan ture.
እኔ የምሄድበት ቦታ አይደለም።	It's not where I'm going.	Bakka ani deemu sana miti.
በተሻለ ጊዜ ሊመጣ አይችልም ነበር።	It could not have come at a better time.	Yeroo kana caalu dhufuu hin danda'u ture.
ማንም ይህን ማድረግ ይችላል።	Anyone can do this.	Namni kamiyyuu akkas gochuu danda'a.
እያሰብኩ ነበር።	I was thinking.	Yaadaan ture.
ሁለቱም ወንድሞች ሙዚቀኞች ናቸው።	Both brothers are musicians.	Obbolaan lamaan muuziqeessitoota.
በየቀኑ እንግሊዝኛ ያጠናል።	He studies English every day.	Guyyaa guyyaan Afaan Ingilizii ni barataa.
አየር ማረፊያው ተዘግቷል።	The airport is closed.	Buufatni xiyyaaraa cufaadha.
ስህተት የማይሰራ ሰው ምንም የማይሰራ ሰው ነው።	A person who does not make mistakes is a person who does nothing.	Namni gonkumaa hin dogoggorre nama homaa hin hojjennedha.
ያንን ከለበስክ ሞኝ ትመስላለህ።	You look silly wearing that.	Yoo sana uffatte gowwaa fakkaachuuf jirta.
ስህተት ወይም ምን እንደሆነ አላውቅም፣ ግን ይህ ሶፍትዌር በትክክል አይሰራም።	I don't know if it's a bug or what, but this software doesn't work properly.	Dogongora yookin maal akka ta'e hin beekun, garuu mosaajiin kun sirritti hin hojjetu.
ወተት አጥተናል።	We ran out of milk.	Aannan dhumeera.
እንደት እንደሚዋኝ ያውቃል።	He knows how to swim.	Daakaa ni beeka.
ስንደውን ወደ ዱቄት ያፈጫሉ።	They grind the wheat into flour.	Qamadii gara daakuutti caccabsu.
አየሩ በጣም መጥፎ ነው።	The weather is very bad.	Haalli qilleensaa baayyee hamaadha.
የምታገኘውን ያህል ገንዘብ ታጠፋለች።	She spends as much money as she earns.	Maallaqa hamma argattu baafti.
ያ ብእርህ ነው።	That's your pen.	Kun kobbee keetii.
እንደገና ይሆናል።	It will happen again.	Ammas ni ta'a.
ከኦክ ዛፍ ላይ አንዳንድ ቅርንጫፎችን ቆረጠ።	He cut some branches from the oak tree.	Muka ook irraa damee tokko tokko kute.
አባቱ ድሃ በመሆናቸው ያፍራል።	His father is ashamed of being poor.	Abbaan isaa hiyyeessa ta'uu isaatiin ni qaana'a.
በታዋቂ አርክቴክት የተሰራው ይህ ቤት ነው።	This house is designed by a famous architect.	Kun mana arkiteektii beekamaa tokkoon dizaayiniin isaa hojjetamedha.
ቶም ከእኛ ጋር ቁማር ተጫውቷል።	Tom gambled with us.	Toom nu waliin qumaara taphachaa ture.
አጥቂዋን ጮክ ብላ በመጮህ ማስፈራራት ችላለች።	She managed to intimidate her attacker by shouting loudly.	Sagalee guddaan iyyuudhaan nama ishee haleelu sodaachisuu dandeesseetti.
የምናጣው ነገር የለንም ብየ እገምታለሁ።	I guess we have nothing to lose.	Waan dhabnu hin qabnu jedheen yaada.
ፓስፖርትወን እና ሶስት ስእሎችን እፈልጋለሁ።	I need a passport and three pictures.	Paaspoortii kee fi suuraa sadii na barbaachisa.
እዚያ ለመራመድ አስር ደቂቃ ብቻ ፈጅቷል።	It only took ten minutes to walk there.	Achi deemuf daqiiqa kudhan qofa fudhate.
ዳግም ደስተኛ አልሆንም።	I will never be happy again.	Amma booda yoomiyyuu hin gammadu.
ምናልባት ይህን ማድረግ የለብኝም።	Maybe I shouldn't do this.	Kana gochuu hin qabu ta'a.
የማውቀውን አስቀድሜ ነግሬያችኋለሁ።	I have already told you what I know.	Waanan beeku kanaan dura isinitti himeera.
ገንዘብ ማግኘት ነበረብኝ።	I had to earn money.	Maallaqa argachuun qaban ture.
ቶም መፅሃፉን ከፍቶ ገፆቹን አገላብጧል።	Tom opened the book and turned the pages.	Toom kitaabicha banee fuula isaa garagalche.
ባቡሩ አንድ ደቂቃ አምልጦታል።	The train missed by a minute.	Baaburichi Daqiiqaa tokkoof durse.
ልናገር።	Let me speak.	Mee haa dubbadhu.
በጉዞ ላይ የሆነ ቦታ መሄድ እፈልጋለሁ።	I want to go somewhere on a trip.	Imala tokkoof bakka tokko deemuun barbaada.
ያ በየቀኑ የሚያዩት ነገር አይደለም።	That's not something you see every day.	Sun waan guyyaa guyyaan argitu miti.
እኔ የምለውን አትሰማም።	You don't listen to what I say.	Waanan jedhu hin dhageessu.
ስፈልገው የነበረው ይህ ነው።	This is what I've been looking for.	Wanti ani barbaadaa ture kana.
የራሱ ጥቅሞች አሉት።	It has its advantages.	Faayidaa ofii isaa qaba.
ቶም ማርያምን ሰደበው።	Tom insults Mary.	Toom Maariyamin arrabse.
የደም መፍሰስን አያቆምም።	It does not stop the bleeding.	Dhiiga dhangalaasu hin dhaabu.
ትናንት ማታ በሩን ከፍተው ተውት።	They left the door open last night.	Halkan edaa balbala banaa dhiiftee.
ባዶ እግሬን በሳሩ ላይ መራመድ እወዳለሁ።	I like to walk barefoot on the grass.	Miila qullaa marga irra deemuu nan jaalladha.
ሁለት ሻይ እና ሶስት ቡናወች አዘዝኩ።	I ordered two teas and three coffees.	Shaayii lamaa fi buna sadii ajaje.
ቶም ቆጣሪው ላይ ተደገፈ።	Tom leaned against the counter.	Toom lakkooftuu irratti hirkate.
ማን እንደሆንክ አላውቅም እና ግድ የለኝም።	I don't know who you are and I don't care.	Eenyu akka taate hin beeku dhimmas hin qabu.
ምርጫህን አድርግ።	Make your choice.	Filannoo kee godhu.
በፈለከው መንገድ ሰርቷል።	It worked the way you wanted.	Akka ati barbaaddetti hojjetee.
ቶም ማርያም ከእሱ ጋር እንድትቆይ ይፈልጋል።	Tom wants Mary to stay with him.	Toom Maariyaam akka isa waliin turtu barbaada.
ቶም ለሙዚቃ ጆሮ አለው።	Tom has an ear for music.	Toom muuziqaaf gurra qaba.
ሴት መሆን ሁልጊዜ ቀላል አይደለም።	Being a woman is not always easy.	Yeroo hunda dubartii ta'uun salphaa miti.
ሌላ እድል አጣሁ።	I missed another chance.	Carraa biraa dhabe.
ለእግር ጉዞ ጊዜ የለኝም።	I don't have time for a walk.	Deemsa miilaf yeroo hin qabu.
ቶምን መጠበቅ እፈልጋለሁ።	I want to wait for Tom.	Toomiin eeguun barbaada.
በጋራ ለመስራት ተስማምተዋል።	They agreed to work together.	Waliin hojjechuuf waliigalan.
አውቶቡሱ ላይ የኪስ ቦርሳየን ተሰርቄያለሁ።	I had my wallet stolen on the bus.	Boorsaa koo Atobisii keessatti hatamee ture.
ማንም አያምናቸውም።	No one believes them.	Namni isaan amanu hin jiru.
ያን ያህል ቀላል እንዳይሆን እፈራለሁ።	I'm afraid it won't be that simple.	Akkas salphaa akka hin taane sodaadha.
እዚህ በጥሩ ሁኔታ ይሰራል።	It works well here.	Asitti baayyee gaarii hojjeta.
ዛሬ ማታ እያየኋት ነው።	I'm seeing her tonight.	Galgala kana ishee argaa jira.
በተመሳሳይ ጊዜ ብዙ አያድርጉ።	Do not do too much at the same time.	Yeroo tokkotti waan baay'ee hin hojjetin.
ለአለም አቀፍ ታዳሚወች ሲናገሩ፣።	Speaking to an international audience,.	Dhaggeeffattoota idil-addunyaa wajjin yeroo dubbannu,.
እንግሊዘኛን ከወትሮው ትንሽ ቀርፋፋ መናገር ጥሩ ይሆናል።	It would be nice to speak English a little slower than usual.	tarii Ingiliffa yeroo biraa caalaa xiqqoo suuta jedhanii dubbachuun gaarii ta'uu danda'a.
ለምርጫው ዝግጁ ነን።	We are ready for the election.	Filannoof qophii taane.
አንድ ሰው ጠፍቷል።	Someone is missing.	Namni tokko dhabameera.
አንተ በጣም ጥሩ ምግብ አብሳይ ነህ።	You are a very good cook.	Dhuguma nyaata bilcheessituu gaarii dha.
በረዶ እየጣለ ነው።	It is snowing.	Cabbii roobaa jira.
ታቅዶ ነበር።	It was planned.	Karoorfamee ture.
በላይኛው መሳቢያ ውስጥ የግጥሚያወች ሳጥን መኖር አለበት።	There should be a box of matches in the top drawer.	Baafata gubbaa keessa wal simsiistuun saanduuqaa jiraachuu qaba.
ጎበዝ ዘፋኝ ነው።	He is a talented singer.	Weellisaa gaarii dha.
ዛሬ የበለጠ እንጠንቀቅ።	Let's be more careful today.	Har'a of eeggannoo dabalataa haa goonu.
ድቡ በጣም የተገራ እና አይነክሰውም።	The bear is very tame and does not bite.	Risaan kun baayyee kan dammaqee fi hin ciniinu.
ቶም ወደ ቤቴ መጣ።	Tom came to my house.	Toom gara mana koo dhufe.
መጋረጃወቹን ስከፍት, በረዶ ነበር።	When I opened the curtains, it was snowing.	Golgaan yeroo banamu qorraa ture.
ቶም እዛ እንድሆን ይጠብቀኛል።	Tom expects me to be there.	Toom achitti akkan argamu na eega.
ይህን እንዳደርግ በእውነት ትፈልጋለህ።	You really want me to do this.	Dhuguma akkan kana godhu barbaaddaa.
የመንፈስ ጭንቀት ራስን ማጥፋት ሊያስከትል ይችላል።	Depression can lead to suicide.	Dhiphinni sammuu of ajjeesuutti nama geessuu danda'a.
ቶም ማርያምን ያቀፈበትን የመጨረሻ ጊዜ አስታወሰ።	Tom remembered the last time he had hugged Mary.	Toom yerooMaariyam hammate isa dhumaa yaadate.
እዚህ ትመጣለች።	Here she comes.	Kunoo isheen dhufte.
እርጥበታማ ውሾች ከደረቁ ይልቅ መጥፎ ሽታ አላቸው።	Wet dogs smell worse than dry ones.	Saroonni jiidha qaban kanneen goggogaa caalaa foolii badaa qabu.
ሳጥኑን ለመዝጋት እየሞከርን ነው።	We are trying to close the box.	Sanduuqa cufuuf yaalaa jirra.
ትጉ ተማሪ አይደለም።	He is not a diligent student.	Tiguun barataa miti.
ከእርስወ እቅድ ጋር እሄዳለሁ።	I will go with your plan.	Karoora kee waliin nan deema.
እሱ በሙሉ በቀለም ተሸፍኗል።	It is all covered in paint.	Guutummaa isaa halluudhaan haguugamee ture.
በደረጃው ላይ አንድ እርምጃ አምልጦኝ ነበር እና ቁርጭምጭሚቴን እንደተሰነጠቅ ፈራሁ።	I had missed a step on the stairs and feared I had sprained my ankle.	Tarkaanfii tokko sadarkaa irra darbee jilba koo akkan na hin kaanneen sodaadha.
ማሽከርከር ያስፈልግወታል።	It needs to be driven.	Yaabannoo si barbaachisaa.
ያለ እርስወ መሆን አልችልም።	I can't be without you.	Si malee ta'uu hin danda'u.
ይህን መፅሃፍ ማን እንደፃፈው ሃሳብ አለህ?	Do you have any idea who wrote this book?	Kitaaba kana eenyu akka barreesse beektaa?
እኔ ብቻ አይደለሁም የራበኝ።	I'm not the only one who's hungry.	Ani qofti miti kan beela'e.
ሽልማቱ ይገባዋል።	He deserves the award.	Badhaasni isaaf mala.
ክብደቷን እንድትቀንስ በእሱ ምክር ተሰጥቷታል።	She was advised by him to lose weight.	Ulfaatina qaamaa akka hir'iftu isa gorse.
ይቅርታ፣ መርዳት ፈልጌ ነበር።	Sorry, just wanted to help.	Dhiifama, gargaaruu barbaaden ture.
መለዋወጫወቹን አንድ በአንድ መረመረ።	He examined the accessories one by one.	qaama jijjirraa tokko tokkoon qorate.
ሬድዮን ከፈትኩ።	I turned on the radio.	Raadiyoo banee.
ቁርስ የሚቀርበው ስንት ሰአት ነው?	What time is breakfast served?	Ciree sa'aatii meeqatti dhihaata?
የዚህ ኤሌክትሮኒክ መዝገበ ቃላት ጥሩ ነገር ለመሸከም ቀላል መሆኑ ነው።	The good thing about this electronic dictionary is that it is easy to carry.	Wanti gaariin galmee jechootaa elektirooniksii kanaa baatanii deemuun salphaa ta'uu isaati.
እርዳታ እንፈልጋለን።	We need help.	Gargaarsa nu barbaachisa.
ብቻየን መተው አልፈልግም።	I don't want to leave us alone.	Kophaa koo dhiisuu hin barbaadu.
ቢያንስ በሳምንት አንድ ጊዜ ወደ ቤተ-መፅሃፍት እሄዳለሁ።	I go to the library at least once a week.	Yoo xiqqaate torbanitti al tokko mana kitaabaa nan deema.
ለአንድ ሳምንት እዚያ ለመቆየት እቅድ አለኝ።	I plan to stay there for a week.	Torban tokko achi turuuf karoorfadheera.
ልታዳምጠኝ ይገባ ነበር።	You should have listened to me.	na Dhaggeeffachuu qabda turte.
እኛ የመጨረሻ ተስፋህ ነን።	We are your last hope.	Nuti abdii kee isa dhumaati.
ሃይ! ስላም።	Hi Slam.	Akkam! Akkam jirta.
እዚሁ ጠብቅ።	Wait right here.	Asirratti eegaa.
ጓደኛህን አገኘሁት።	I met your friend.	Hiriyaa kee wajjin wal barre.
መክሰስ ይኑርህ።	Have a snack.	Nyaata salphaa nyaadhu.
እንድናደርግ ተጠየቅን።	We were asked to do so.	Akkas akka goonu nu gaafatame.
ይህ የእርስወ ልጅ ነው።	This is your child.	Mucaa keessani kun.
ጠላቶች አይደለንም።	We are not enemies.	Nuti diina miti.
ወደ ትምህርት ቤት እመራለሁ።	I head to school.	Miillaan gara mana barumsaa nan deema.
ብዙ ንፋስ አለ።	There is a lot of wind.	Qilleensa baay'eetu jira.
የግል ትኩረቷን ሰጠችው።	She gave him her personal attention.	Xiyyeeffannoo dhuunfaa isheef kennite.
ካለፈው መሮጥ አትችልም።	You can't run from the past.	Kan darbe irraa fiiguu hin dandeessu.
ውጭ የቆሙ የፖሊስ መኪኖች አሉ።	There are police cars parked outside.	Konkolaattonni poolisii tokko tokko ala dhaabbatanii jiru.
በአገርህ ሩዝ ትበላለህ።	You eat rice in your country.	Biyya keessanitti ruuzii nyaattuu.
ስራው ከሰአት በፊት ማለቅ አለበት።	The work should be finished before noon.	Hojichi sa'aatii walakkaa dura xumuramuu qaba.
ያ ከአንተ ጋር ምን ግንኙነት አለው?	What does that have to do with you?	Sun si waliin hariiroo akkamii qaba?
ለገንዘብ ምንም ደንታ የለህም መሰለኝ።	I thought you didn't care about money.	Maallaqaaf dhimma hin qabdu natti fakkaata.
ተስፋ ቆርጨ ነበር።	He was desperate.	Abdii dhiiseen ture.
በጥንቃቄ ይመልከቱ። እንደት እንደተደረገ ላሳይወት ነው።	Look carefully.I'm going to show you how it's done.	Sirritti ilaalaa. Akkamitti akka hojjetamu isinitti agarsiisa.
ተነሳሽ ነወት።	You are motivated.	kaka'umsa qabdu.
ይህ ሁሉ ምግብ እንድባክን መፍቀድ አሳፋሪ ነው።	It's a shame to let all this food go to waste.	Nyaata kana hunda akka qisaasamaatti gadhiisuun salphina ta'a.
ለምን እንደዚያ ማድረግ እንዳለብኝ ምንም ምክንያት አይታየኝም።	I don't see any reason why I should do that.	Sababni ani akkas gochuu qabuf tokkollee natti hin argu.
ያንን መቋቋም እንደምችል አምናለሁ።	I believe I can handle that.	Sana dandamachuu akkan danda'u nan amana.
ለእራት መውጣትስ።	How about going out for dinner.	Irbaata nyaachuuf bahuun akkam.
መፅሄቱን በፍጥነት ተመለከተ።	He glanced quickly at the magazine.	Barruulee sana dafaa ilaala.
በጣም ጥሩ አድርገሃል።	You did very well.	Baay'ee gaarii goote.
ሁሉም ሳቁ።	They all laughed.	Hunduu kolfe.
ግማሽ ትክክል ነን።	We are half right.	Walakkaa sirrii dha.
እየተንሸራሸርኩ ራሴን ልገድል ነበር።	I was going to kill myself while strolling.	Utuun hiruun of ajjeesuuf jedhe.
ፓስታ እንብላ።	Let's eat pasta.	Mee paastaa haa nyaannu.
በፒያኖ ላይ ጥሩ ችሎታ አሳይታለች።	She is very good at piano.	Piyaanoo irratti ogummaa guddaa agarsiifteetti.
ልቧ እየመታ በሩን ከፈተች።	Her heart pounding, she opened the door.	Garaa ishee rurrukutaa balbala bante.
ጥቅሉን ይክፈቱ።	Open the package.	Paakeejii sana banaa.
እዚህ ላለፉት አስር አመታት እየኖርኩ ነው።	I have been living here for the past ten years.	Waggoota kurnan darbaniif as jiraachaa ture.
"እየራበኝ ነው። ""እኔም።"" ""እንብላ።"" ""እሽ""።"	"I'm getting hungry.""me either.""""Let's eat.""""Shh""."	"Beela'aa jira. ""Anis akkasuma."" ""Haa nyaannu."" ""TOLE.""."
አስገባው።	Enter it.	Galchi.
የተሸከመውን ምሰሶ ማስወገድ የህንፃውን መዋቅር አበላሽቷል።	Removing the load-bearing beam damaged the structure of the building.	Biimii isa fe'ame sana dhorkuun dhaabbii gamoo sana balleessee.
ሮም ጥንታዊ ከተማ ነች።	Rome is an ancient city.	Roomaan magaalaa duriiti.
ፈጥኖም ይሁን ዘግይቶ እድሉ ያበቃል።	Sooner or later the opportunity will end.	Ariifatus dafee gahus carraan isaa ni dhumata.
እባካችሁ እራትወን ይቀጥሉ።	Please continue our dinner.	Maaloo irbaata keessan itti fufaa.
ከእሷ ጋር መገናኘት አለብህ።	You have to meet her.	Ishee waliin wal arguu qabda.
ቀጠሮ ይዘን ነበር።	We had an appointment.	Beellama qabna turre.
ከቶም የተሻለ ጠብቄ ነበር።	I expected better from Tom.	Toom irraa waan caalu eegeen ture.
እየሄድን ነው።	We are going.	Deemaa jirraa.
እሷ ሳታውቅ መልሰን ማግኘት ችለናል።	We were able to retrieve it without her knowing.	Osoo isheen hin beekin deebifnee argachuu dandeenye.
ይህ መኪና አባቴ ይጠቀማል።	This car is used by my father.	Konkolaataa kana abbaa kootu fayyadama.
ቶም ምን እንደሚያደርግ አያውቅም።	Tom doesn't know what to do.	Toom maal akka godhu hin beeku.
በዚህ ቅዳሜና እሁድ ለመዝናናት በእውነት እጓጓለሁ።	I'm really looking forward to having fun this weekend.	Dhuma torbee kanaa boqonnaa argachuuf baay'een hawwa.
ለጀማሪ እዚህ መዋኘት አደገኛ ነው።	Swimming here is dangerous for a beginner.	Namni daakaa hin beekne asitti daakuun balaa qaba.
ግልቢያ ያስፈልገኛል።	I need a ride.	Yaabannoo na barbaachisa.
ብቻየን መመለስ አልፈልግም።	I don't want to go back alone.	Kophaa koo deebi'uu hin barbaadu.
አጎቴ ወደ አሜሪካ ሲሄድ ብዙ ሰወች ከአውሮፕላን ማረፊያው ሄደው ሊያዩት መጡ።	When my uncle left for America, many people went from the airport to see him.	Adeerri koo gara Ameerikaa yeroo deemu namoonni hedduun buufata xiyyaaraatti isa simachuuf dhufan.
ለምንድን ነው ጦጣወች በጣም አስቂኝ የሆኑት?	Why are monkeys so funny?	Jaldeessonni maaliif akkas nama kofalchiisu?
እርስወ እንደሚያስቡት ቀላል አይደለም።	It is not as easy as you think.	Akka isin yaaddanitti salphaa miti.
ከእሷ ጋር መውጣት ይፈልጋል።	He wants to go out with her.	Ishee waliin bahuu barbaada.
ቶም ደስተኛ ላይሆን ይችላል ብየ አሰብኩ።	Tom might not be happy, I thought.	Toom gammachuu dhabuu dandaʼa jedheen yaade.
ስሙን መጥራት ተቸግሬ ነበር።	I had a hard time pronouncing his name.	Maqaa isaa waamuun na rakkisee ture.
አባቴ አዳኝ ነው።	My father is a hunter.	Abbaan koo adamsituu dha.
በዙሪያቸው ግራ መጋባት ተሰማኝ።	I felt confused around them.	naannoon isaanii dalga namatti ta'a.
እነዚህን ፎቶወች ይመልከቱ።	Check out these photos.	Suuraalee kana ilaalaa.
በምሽት መውጣት የለብወትም።	You should not go out at night.	Halkan bahuu hin qabdu.
ስፌት በእጅ የሚሰራ ስራ ነው።	Sewing is a manual work.	Hojii huccuu hojjechuun hojii harkaa ti.
የመጨረሻ እድል ሰጡን።	They gave us one last chance.	Carraa dhumaa tokko nuuf kennaniiru.
እሷ ሁሉንም ጥቁር ለብሳ ነበር።	She was wearing all black.	Isheen gurraacha uffattee turte.
የትም መሄድ ይችላሉ።	You can go anywhere.	Bakka feetan deemuu dandeessu.
በየቀኑ ጠዋት በእግር ይጓዛል።	He walks every morning.	Ganama ganama miilaan deema.
ከዚህ በፊት የሆነ ቦታ አግኝቻታለሁ የሚል ስሜት አለኝ።	I have a feeling I've met her somewhere before.	Kanaan dura bakka ta'etti ishee argeera miira jedhun qaba.
ያ ብቻ ነው ያየነው።	That's all we saw.	Kana qofa argine.
ዩኒቨርሲቲ ገብቸ ስራ እንደምጀምር እስካሁን እርግጠኛ አይደለሁም።	I'm not sure yet if I'll start a job after going to university.	Yuunivarsiitii erga deemee booda hojii jalqabuu fi dhiisuu koo ammatti hin beeku.
ያ በእውነት ኢፍትሃዊ ነበር።	That was really unfair.	Sun dhuguma haqa kan hin qabne ture.
ሲርበኝ እበላለሁ።	I eat when I'm hungry.	Yeroon beela'u nan nyaadha.
ጓንቶቸን ማውጣት አልችልም።	I can't take the gloves off.	Golgaa harka ofirraa baasuu hin dandeenye.
ከአንተ በቀር ምንም አላሰብኩም።	I thought of nothing but you.	Si malee homaa hin yaadu.
ጥቃት ደርሶባቸዋል።	They were attacked.	Haleellaan irratti raawwatameera.
እስኪ ልሞክረው።	Let me try it.	Mee haa yaalu.
አሁንም መሞከር አለብኝ።	I still have to try.	Ammas yaaluun qaba.
አብረን እራት በልተናል።	We had dinner together.	Irbaata waliin nyaanne.
ዛሬ ማታ ቀጠሮ አለኝ።	I have a date tonight.	Halkan kana beellama qaba.
ከዚህ ወደ ባቡር ጣቢያው አስር ደቂቃ ያህል ይወስዳል።	It takes about ten minutes from here to the train station.	Asirraa gara buufata baaburaatti gara daqiiqaa kudhanii fudhata.
ሁሉንም ነገር የማደርገው እንደዛ ነው።	That's how I do everything.	Waan hundumaa akkasitti hojjedha.
እዚህ የደረስኩት ከሰላሳ ደቂቃ በፊት ነው።	I got here thirty minutes ago.	Gara daqiiqaa soddoma dura as gahe.
ቶም እና ሜሪ ሁለቱም ለመልቀቅ ወስነዋል።	Tom and Mary both decide to leave.	Toomii fi Meerii lamaan isaanii iyyuu aangoo gadhiisuuf murteessaniiru.
እህቴ ደብዳቤውን ስትቀደድ አየሁ።	I saw my sister tearing up the letter.	Obboleettiin koo xalayaa sana akka cicciru arge.
አንተ በእኔ መንገድ ላይ ነህ።	You are in my way.	Ati karaa koo keessa jirta.
ለእኔ በጣም እንግዳ ይመስላል።	It seems very strange to me.	Baayyee ajaa'iba natti dhaga'ama.
የዚህ ዜማ ስም ማን ይባላል?	What is the name of this song?	Maqaan faarfannaa kanaa maali?
ቶም ፍሬ ብቻ ይበላል።	Tom only eats fruit.	Toom firii qofa nyaata.
ግድግዳውን እንደቀቡ ወድያውኑ ወደ ቤትወ መሄድ ይችላሉ።	You can go home immediately after painting the wall.	Akkuma dallaa dibameen gara manaatti deebi'uu dandeessu.
ዛሬ ማታ የተሻለ ትተኛለህ።	You'll sleep better tonight.	Halkan kana gaarii rafta.
የቸሪ አበባወች በጣም ጥሩ ናቸው።	Cherry blossoms are very good.	Daraaraan cheerii baayyee gaarii dha.
የከተማ ህይወት ግርግር እና ግርግር ናፈቀኝ።	I miss the hustle and bustle of city life.	Jireenya jeequmsa magaalan yaade.
ቀይ ፅጌረዳወችን አመጣሁልወ።	I brought red roses.	Roozaa diimaa siif fideen ture.
ከእርስወ ጋር መምጣት እንደምችል እርግጠኛ አይደለሁም።	I'm not sure I can come with you.	Si waliin dhufuu danda'uu fi dhiisuu koo mirkanaa'aa miti.
ሰማያዊ ካፖርት የለበሰችው ልጅ የኔ ልጅ ነች።	The girl in the blue coat is my daughter.	Intalti kootii bifa cuquliisa uffatte intala kooti.
ስለዚህ ወጭውን መቀነስ ያስፈልጋል።	Therefore, it is necessary to reduce the cost.	Kanaaf baasii hir'isuun barbaachisaadha.
ምን ያስደስትሃል?	What makes you happy?	Maaltu si gammachiisa?
ለቶም ስለእርስወ ለመንገር እቅድ አለኝ።	I plan to tell Tom about you.	Waa'ee kee Toomitti himuuf karoorfadheera.
ጀግንግ በእውነቱ ከሚታየው በጣም ቀላል ነው።	Juggling is actually a lot easier than it looks.	Juggling gochuu dhugumatti waan fakkaatu caalaa baayyee salphaadha.
አረንጓደ ቀሚስ ለብሳለች።	ERROR: The read operation timed out.	Uffata magariisa uffatte.
ሁሌም ተመሳሳይ ነገር ነው የምትናገረው።	You always say the same thing.	Yeroo hunda waanuma tokko dubbatta.
ርህራሄን አልፈልግም።	I don't want pity.	Ani mararfannaa hin barbaadaa.
በሱቁ ውስጥ ያገኘነው አደጋ ብቻ ነው።	All we got in the shop was a disaster.	Mana daldalaa sana keessatti balaa qofa argine.
ተጠያቂው እራስህ ብቻ ነው።	You have only yourself to blame.	Ofii kee qofa komatamuu qabda.
ቡና እንድጠጣ ጋበዘችው።	She invited him to have coffee.	Buna akka dhuguuf affeerte.
በንብ ነደፋህ።	A bee stung you.	Biinbiitu si ciniinee.
ፈርኦኖች የጥንቷ ግብፅ ገዥወች ነበሩ።	Pharaohs were the rulers of ancient Egypt.	Fara'oon bulchitoota Gibxii durii turanidha.
ቶም እንደዚያ እንደሚያደርግ አላውቅም ነበር።	I didn't know Tom would do that.	Toom akkas akka godhu yaada hin qabu ture.
በጠዋት ከቤት ወጣን።	We left home in the morning.	Ganama bariin manaa baane.
