Amharic,English,Oromo,duplication_group,pair_type,language_pair
እስካሁን ምንም አላየህም።,Ammatti homaa hin argine.,You haven't seen anything yet.,2,trilingual,en_am_or
ህይወት እንደቀድሞው እንድትሆን እመኛለሁ።,Jireenyi akka kanaan dura ture akka ta'u nan barbaada.,I wish life could be the way it used to be.,2,trilingual,en_am_or
ነገ ከሰአት በኋላ ሊመጣ ይችላል።,Boru waaree booda dhufuu mala.,He may come tomorrow afternoon.,2,trilingual,en_am_or
ቶም ገና ገና ከመድረሱ ጥቂት ቀናት በፊት አውስትራሊያን ለቅቋል።,Toom Ayyaana Qillee guyyoota muraasa dura Awustiraaliyaa gadhiise.,Tom left Australia a few days before Christmas.,2,trilingual,en_am_or
ሙሉ በሙሉ እንደሚድኑ ተስፋ አደርጋለሁ።,Guutummaatti akka fayyitan abdiin qaba.,I hope you will recover completely.,2,trilingual,en_am_or
በፓርቲው ላይ ማንም ፈረንሳይኛ አይናገርም።,Dhaaba kana irratti namni afaan Faransaayii dubbatu hin turre.,No one speaks French at the party.,2,trilingual,en_am_or
ቶም ባለፈው ሳምንት ገባ።,Toom torban darbe gara manaatti gale.,Tom came in last week.,2,trilingual,en_am_or
ቶም ከማርያም ጋር ተለያዩ።,Toom Maariyam wajjin addaan baʼe.,Tom broke up with Mary.,2,trilingual,en_am_or
ቴምብሮችን ከየት አገኛለሁ?,Chaappaa eessaa argadha?,Where do I get the stamps?,2,trilingual,en_am_or
"መኪናውን በ12,000 ዶላር ገዛን።","Konkolaataa kana doolaara 12,000 n bitanne.","We bought the car for $12,000.",2,trilingual,en_am_or
የዚህ ኩባንያ የትርፍ ህዳግ በጣም ትልቅ ነው።,Bu'aan dhaabbata kanaa baayyee guddaadha.,The profit margin of this company is huge.,2,trilingual,en_am_or
እንደዚህ ማብሰል እንደምትችል አላውቅም ነበር።,Akkasitti nyaata bilcheessuu akka dandeessu hin beeku ture.,I didn't know you could cook like that.,2,trilingual,en_am_or
የኪዊፍሩትን ቆዳ መብላት ይቻላል።,Gogaa Kiwii firii nyaachuu dandeessaa.,The skin of kiwifruit can be eaten.,2,trilingual,en_am_or
ያ ልጅ አንተን ይመስላል።,Mucaan sun si fakkaata.,That boy looks like you.,2,trilingual,en_am_or
የትኛው ጃንጥላ ነው ያንተ?,Dibaabee kamtu kan keeti?,Which umbrella is yours?,2,trilingual,en_am_or
ተመልካቾችህን በፍፁም አቅልለህ አትመልከት።,Dhaggeeffattoota kee gonkumaa xiqqeessuu hin qabdu.,Never underestimate your audience.,2,trilingual,en_am_or
የሆነ ነገር እንደሰማሁ አውቃለሁ።,Waan tokko akkan dhaga'e nan beeka.,I knew I heard something.,2,trilingual,en_am_or
አሁንም ወደ ቦስተን የመመለስ እቅድ አለህ።,Ammallee gara Boostonitti deebi'uuf karoora qabdaa.,You still have plans to return to Boston.,2,trilingual,en_am_or
ከእኔ በፊት እንደት እዚህ ደረስክ።,Akkamitti na dura as geesse.,You got here before me.,2,trilingual,en_am_or
እያወሩ ነው።,Isaan haasa'aa jiru.,They are talking.,2,trilingual,en_am_or
ከነዚህ ነገሮች አንዱ ነበር።,Wantoota sana keessaa tokko ture.,It was one of those things.,2,trilingual,en_am_or
ዛሬ ጠዋት አርፍደሃል።,Ganama kana harkifattee jirta.,You are late this morning.,2,trilingual,en_am_or
ካንሰር ነው።,Kaansariidhaa.,It is cancer.,2,trilingual,en_am_or
ሃይቁ ከዚህ በጣም ሩቅ ነው።,Haroon kun as irraa fagoodha.,The lake is far from here.,2,trilingual,en_am_or
ጨውን አሳልፈኝ።,Soogidda naaf dabarsi.,Pass me the salt.,2,trilingual,en_am_or
ዶክተር ብለው ጠሩኝ።,Doktara jedhanii na waaman.,They called me doctor.,2,trilingual,en_am_or
ፊልሙ ከጠበቅኩት በላይ ነበር።,Fiilmiin sun waanan eege caalaa gaarii ture.,The movie exceeded my expectations.,2,trilingual,en_am_or
ብዙውን ጊዜ በአራት ሰአት ወደ ቤት እሄዳለሁ።,Yeroo baayyee sa'aatii afuriitti gara manaatti nan deebi'a.,I usually go home at four o'clock.,2,trilingual,en_am_or
እንደ ትንሽ ልጅ ነው የምትሰራው።,Akka daa'ima xiqqaatti hojjechaa jirta.,You act like a little girl.,2,trilingual,en_am_or
በረጅሙ ነጭ ፀጉርህ ከሩቅ አገኝሃለሁ።,Rifeensa kee dheeraa adii ta'een fagoodhaa si arguu nan danda'a.,I can see you from afar with your long white hair.,2,trilingual,en_am_or
የሆነ ነገር ጥሩ ይሸታል።,Wanti ta'e tokko foolii gaarii qaba.,Something smells good.,2,trilingual,en_am_or
ምን ማድረግ እንዳለብኝ ለማወቅ በጠዋት አሳለፍኩ።,maal akkan godhu adda baasudhafan ganamaan dabarse.,I spent the morning figuring out what to do.,2,trilingual,en_am_or
ቶም ዛሬ ከሰአት በኋላ ወደ ዋና ሊሄድ ነው።,Toom har'a waaree booda bishaan daakaa deemuuf jira.,Tom is going swimming this afternoon.,2,trilingual,en_am_or
በካርዶች ጨዋታ ላይ ላስደስትህ እችላለሁ።,Taphni kaardii si hawwachuu danda'aa.,I can entertain you in a card game.,2,trilingual,en_am_or
አርጅቸ ሊሆን ይችላል ግን አላበድኩም።,"Dulloomuu danda'a, garuu hin maraadhu.","I may be old, but I'm not crazy.",2,trilingual,en_am_or
እሱ እዚህ አለ።,Inni as jira.,He is here.,2,trilingual,en_am_or
በዚህ ጉዳይ ላይ መግባባት ላይ መድረስ እንችላለን።,Dhimma kana irratti waliigalteerra gahuu dandeenyaa.,We can reach an agreement on this issue.,2,trilingual,en_am_or
አውሮፕላኑ በግርፋት አረፈ።,Xiyyaarri kun sagalee guddaadhaan bu'e.,The plane landed with a thud.,2,trilingual,en_am_or
የኛ ጉዳይ አይደለም።,Dhimma keenya miti.,It's none of our business.,2,trilingual,en_am_or
ቶም ከማርያም ጋር መስራት ይፈልጋል።,Toom Maariyaam wajjin hojjechuu barbaada.,Tom wants to work with Mary.,2,trilingual,en_am_or
የጨረቃ ባለቤት ማንም የለም።,Namni ji'a abbummaasa qabu hin jiru.,No one owns the moon.,2,trilingual,en_am_or
ሌላ ነገር ላገኝህ እችላለሁ።,Waan biraa siif arguu danda'aa.,I can find you something else.,2,trilingual,en_am_or
በጣም ደክሞኛል።,Baay'een dadhabe.,I am so tired.,2,trilingual,en_am_or
በከተማችን ውስጥ ቤተ መፃህፍት አለ።,Magaalaa keenya keessa manni kitaabaa jira.,There is a library in our town.,2,trilingual,en_am_or
የፈለጋቸው እነዚያ ናቸው።,Isaan sun warra ati barbaaddee.,Those are what you want.,2,trilingual,en_am_or
ንደቷን አጥታ ጮሀችኝ።,Aarii dhabdee natti iyyite.,She lost her temper and shouted at me.,2,trilingual,en_am_or
ከእኔ ጋር አትመጣም።,Na waliin hin dhuftuu.,You will not come with me.,2,trilingual,en_am_or
በእውነቱ እንደዚህ ያለ ነገር አደርጋለሁ ብለው ያስባሉ።,Dhuguma waan akkasii nan hojjedha jettee yaaddaa.,You really think I would do something like that.,2,trilingual,en_am_or
እያንዳንዱ ተማሪ መቆለፊያ አለው።,Tokkoon tokkoon barattootaa Furtuun cufuu qabu.,Each student has a locker.,2,trilingual,en_am_or
በስም አውቃታለሁ።,Maqaa isheen beeka.,I know her by name.,2,trilingual,en_am_or
አለቃህ ነኝ።,Ani hogganaa kee ti.,I'm your boss.,2,trilingual,en_am_or
ወድያው ወደደችው።,Achumaan isa jaallatte.,She loved him immediately.,2,trilingual,en_am_or
ልጀ ጋዜጠኛ ነው።,Ilmi koo gaazexeessaadha.,My son is a journalist.,2,trilingual,en_am_or
ቶም እና ሜሪ ያ እውነት እንዳልሆነ ሁለቱም ያውቃሉ።,Toomii fi Maariyam lamaan isaanii iyyuu sun dhugaa akka hin taane beeku.,Tom and Mary both know that's not true.,2,trilingual,en_am_or
በእርግጠኝነት ተደሰትን አይደል?,Nuti dhuguma bashannanne mitii?,"We certainly enjoyed it, didn't we?",2,trilingual,en_am_or
"ትናንት, አንድ ፖም በላሁ።","Kaleessa, Appilii tokkon nyaadhe.","Yesterday, I ate an apple.",2,trilingual,en_am_or
በስብሰባው ላይ አልነበረም።,Walgahicha irratti hin argamne.,He was not at the meeting.,2,trilingual,en_am_or
ሁሉም ነገር በጥሩ ሁኔታ ተከናውኗል።,Wanti hundinuu akka gaariitti ta'e.,Everything is done well.,2,trilingual,en_am_or
ይህ ሁሉ የሚሆነው እዚህ ነው።,Bakki kun hundinuu ta'a.,This is where it all happens.,2,trilingual,en_am_or
በቅርቡ ክብደቴን አጣሁ።,Dhiheenya kana ulfaatina qaamaa hir'iseen jira.,I recently lost weight.,2,trilingual,en_am_or
ቶም ብዙውን ጊዜ ፊልም ሲመለከት ፖፕኮርን ይበላል።,Toom yeroo baayyee yeroo fiilmii ilaalu faandishaa nyaata.,Tom often eats popcorn while watching a movie.,2,trilingual,en_am_or
በቋሚ ፍርሃት ይኖራሉ።,Sodaa yeroo hunda keessa jiraatu.,They live in constant fear.,2,trilingual,en_am_or
ራሴን ብሆንም ሳቅሁ።,Ofii koo utuu ta'ees jedheen kolfe.,I laughed in spite of myself.,2,trilingual,en_am_or
ብዙ መስራት አለብን።,Waan baay'ee hojjechuu qabna.,We have a lot to do.,2,trilingual,en_am_or
አንድ ነገር ማድረግ አለብኝ።,Waan tokko gochuun qaba.,I have to do something.,2,trilingual,en_am_or
ቸኮሌት አይስክሬም እወዳለሁ።,Ayskiriimii chokoleetii nan jaalladha.,I love chocolate ice cream.,2,trilingual,en_am_or
እዚሁ ነኝ።,Asuman jira.,I'm right here.,2,trilingual,en_am_or
ሃሳቧን ወሰነች እና ከሱ ለመነጋገር ፈቃደኛ አልሆነችም።,Yaada isheetti murteessitee isa waliin dubbachuu didde.,She made up her mind and refused to talk to him.,2,trilingual,en_am_or
በኋላ መሰባሰብ እንደምንችል አስቤ ነበር።,Booda walitti qabamuu dandeenya jedheen yaade.,I thought we could get together later.,2,trilingual,en_am_or
እባክህ እንደገና አትፃፍልኝ።,Maaloo ammas naaf hin barreessinaa.,Please don't write to me again.,2,trilingual,en_am_or
እንግሊዘኛ ብቻ ነው የምችለው።,Afaan Ingilizii qofa dubbachuu nan danda'a.,I can only speak English.,2,trilingual,en_am_or
ጉዳዩን እንመልከተው።,Mee dhimmicha haa ilaallu.,Let's look at the issue.,2,trilingual,en_am_or
ፈተናውን እንደማለፉ እርግጠኛ ነኝ።,Qormaata kana akkan darbu mirkaneeffadheeradha.,I am sure you will pass the test.,2,trilingual,en_am_or
በጃፓን በምትቆይበት ጊዜ ብዙ ጊዜ ኪዮቶን ትጎበኝ ነበር።,Yeroo Jaappaan keessa turtetti yeroo baayʼee Kiyootoo daawwatti turte.,"During her stay in Japan, she often visited Kyoto.",2,trilingual,en_am_or
በእውነት መሄድ አለብን።,Dhuguma deemuu qabna.,We really have to go.,2,trilingual,en_am_or
እንደጨረስን እገምታለሁ።,Xumurameerra jedheen tilmaama.,I guess we're done.,2,trilingual,en_am_or
ይህንን ስራ ከመጨለሙ በፊት መጨረስ አለብኝ።,Hojii kana osoo hin dukkanaa'in xumuruun na barbaachisa.,I have to finish this work before it gets dark.,2,trilingual,en_am_or
ቶም ምን ማድረግ እንዳለበት አያውቅም ነበር።,Toom maal akka godhu hin beeku ture.,Tom didn't know what to do.,2,trilingual,en_am_or
ሂደትህን ከኮምፒውተሬ እከታተላለሁ።,Adeemsa keessan kompiitara koo irraan hordofa.,I will monitor your progress from my computer.,2,trilingual,en_am_or
እኛም እንደዛው እናደርግልሃለን።,Nutis akkasuma goona.,We will do the same for you.,2,trilingual,en_am_or
በደሴቲቱ ራቅ ወዳለ ቦታ ላይ የሚያምር ሰማያዊ ሃይቅ አገኘን።,Odola sana gama fagootti laga bareedaa fi bifa diimaa qabu arganne.,We found a beautiful blue lake on the far side of the island.,2,trilingual,en_am_or
እንድህ አይነቱ የአየር ሁኔታ ከቤት ውስጥ እንድቆይ ያደርገኛል።,Haalli qilleensaa akkanaa mana keessa na tursiisa.,Weather like this keeps me indoors.,2,trilingual,en_am_or
አንድም ቃል ማመን አይችሉም።,Jecha tokkollee amanuu hin dandeessan.,You can't believe a word.,2,trilingual,en_am_or
ባለፈው ቀን ያበደርኩህን መፅሃፍ እንድትመልስልኝ እፈልጋለሁ።,Kitaaba guyyaa darbe siif ergise akka deebistu nan barbaada.,I want you to return the book I lent you the other day.,2,trilingual,en_am_or
ሁሉም ዝግጁ ናቸው።,Hundi isaanii qophiidhaa.,All are ready.,2,trilingual,en_am_or
ቶም ምንም እዳ የለንም።,"Toom, liqiin homaa hin qabnu.","Tom, we owe you nothing.",2,trilingual,en_am_or
ማይክሮፎኔ የት አለ?,Maaykiroofooniin koo eessa jira?,Where is my microphone?,2,trilingual,en_am_or
መቸም መፋታት አልነበረብኝም።,Silaa gonkumaa wal hiikuu hin qabu ture.,I should never have gotten divorced.,2,trilingual,en_am_or
መጥፎው የአየር ሁኔታ እንዳልሄድ እየከለከለኝ ነው።,Haalli qilleensaa hamaan akkan hin deemne na dhorkaa jira.,The bad weather is preventing me from going.,2,trilingual,en_am_or
በአውሮፓ ጦርነት አብቅቷል።,Waraanni Awurooppaa keessatti geggeeffamaa ture xumurame.,The war in Europe is over.,2,trilingual,en_am_or
ገመዶቹ አግድም ነበሩ።,Funyoonni sun wal-qixa turan.,The ropes were horizontal.,2,trilingual,en_am_or
መዝፈን እወዳለሁ።,Sirbuun natti tola.,I like to sing.,2,trilingual,en_am_or
ምንም ተጨማሪ አያስፈልገንም።,Kana caalaa nu hin barbaachisu.,We don't need anything more.,2,trilingual,en_am_or
ስራ ላይ ነን።,Hojiirra jirra.,We are busy.,2,trilingual,en_am_or
ቶም ልቡ እንደሚሰበር አውቃለሁ።,Toom garaan isaa akka cabe nan beeka.,I know Tom will be heartbroken.,2,trilingual,en_am_or
ቶም በሩን ለመክፈት ሞከረ።,Toom balbala banuuf yaale.,Tom tried to open the door.,2,trilingual,en_am_or
ይህን ማድረግ የምንችል አይመስለኝም ነበር።,Akkas gochuu dandeenya jedhee hin yaadne.,I didn't think we could do this.,2,trilingual,en_am_or
በደወልኩ ቁጥር እሱ ይወጣል።,Yeroon bilbilu hunda inni ni dhufa.,"Every time I call, he comes out.",2,trilingual,en_am_or
ጥቁር ካፖርት በዚህ ክረምት ፋሽን ነው።,Kootiin gurraachi ganna kana faashinii ta'ee jira.,Black coat is fashionable this winter.,2,trilingual,en_am_or
እርስወ ሲሆኑ ዝግጁ ነኝ።,Gaafa ati taate qophiidha.,I'm ready when you are.,2,trilingual,en_am_or
አብረን እንብላ።,Waliin haa nyaannu.,Let's eat together.,2,trilingual,en_am_or
ቶም ቦታውን እንድወስድ ይፈልጋል።,Toom bakka isaa akkan fudhadhu barbaada.,Tom wants me to take his place.,2,trilingual,en_am_or
ተረጋግተን መነጋገር አለብን።,Tasgabbiidhaan waliin haasa'uu qabna.,We need to calm down and talk.,2,trilingual,en_am_or
እርሻ ላይ ሰርቻለሁ።,Qonnarra hojjedheera.,I worked on a farm.,2,trilingual,en_am_or
እስከ ሰኞ ድረስ ወረቀትወን በጠረጴዛየ ላይ ያድርጉ።,Waraqaa keessan hanga wiixataatti deeskiiirra kaa'a.,Put the paper on the table until Monday.,2,trilingual,en_am_or
ወይዘሮ ስሚዝ የእንግሊዘኛ መምህር ናት።,Aadde Ismiiz barsiisaa Afaan Ingiliffaadhaa.,Mrs. Smith is an English teacher.,2,trilingual,en_am_or
እሱ እዚህ ቢኖር ምን ይል ነበር?,Osoo as jiraatee maal jedha?,What would he say if he was here?,2,trilingual,en_am_or
ሃይቁ በረዶ ነበር።,Haroon sun cabbii ture.,The lake was frozen.,2,trilingual,en_am_or
ተማሪወቹ ያከብሩት ነበር።,Barattoonni isaa isa kabaju turan.,The students adored him.,2,trilingual,en_am_or
ቶም ዛሬ ምሽት ግብዣ እያደረገ ነው።,Toom galgala kana affeerraa kennaa jira.,Tom is having a party tonight.,2,trilingual,en_am_or
ችግሮቹን እንድወጣ ረድቶኛል።,Rakkoowwan na mudatan akkan moʼu na gargaareera.,It helped me overcome the problems.,2,trilingual,en_am_or
ከወንድሙ ጋር ተጣላ።,Obboleessa isaa waliin lole.,He had a fight with his brother.,2,trilingual,en_am_or
ቶም አጭር እግሮች አሉት።,Toom miila gabaabaa qaba.,Tom has short legs.,2,trilingual,en_am_or
እስካሁን ስንት አመትህ እንዳለህ አልነገርከኝም።,Ammallee umriin kee meeqa akka ta'e natti hin himne.,You still haven't told me how old you are.,2,trilingual,en_am_or
ፈረንሳይኛ ማጥናት አለብህ።,Afaan Faransaayii barachuu qabda.,You should study French.,2,trilingual,en_am_or
ፕሮፌሽናል የባንጆ ተጫዋች ለመሆን በሽወች የሚቆጠሩ ሰአታት ልምምድ ማድረግ ያስፈልግወታል።,Taphataa ogeessa ta'uuf sa'aatii kumaatamaan lakkaa'aman shaakala gochuu qabda.,Becoming a professional banjo player requires countless hours of practice.,2,trilingual,en_am_or
ስህተት ነበር ብየ አላምንም።,Dogoggora ture jedhee hin amanu.,I don't believe it was a mistake.,2,trilingual,en_am_or
ግልቢያ ብትሰጡኝ ጥሩ ነው።,Osoo Yaabbannoo naaf kennitaniigaariidha.,It would be great if you could give me a ride.,2,trilingual,en_am_or
ያንን ማድረግ እንደምፈልግ አላውቅም።,Akkas gochuu akkan barbaadu hin beeku.,I don't know if I want to do that.,2,trilingual,en_am_or
እሱን ወደዚህ አምጥተህ ምን እያሰብክ ነበር?,Maal yaadaa turte asitti isa fiduuf?,What were you thinking of bringing him here?,2,trilingual,en_am_or
በጣም ብዙ ቱሪስቶች አሉ።,Turistoonni baay'eetu jiru.,There are too many tourists.,2,trilingual,en_am_or
አሁን ለምን አታናግረኝም?,Amma maaliif natti hin dubbattu?,Why don't you talk to me now?,2,trilingual,en_am_or
እዚህ አትሩጡ።,Asitti hin fiiginaa.,Don't run here.,2,trilingual,en_am_or
ከረጅም ጊዜ በፊት አቆምኩ።,Yeroo dheeraa duran dhiise.,I stopped a long time ago.,2,trilingual,en_am_or
ብእሬን ፈልጌ ነው።,Qalama koo barbaadaan jira.,I'm looking for my pen.,2,trilingual,en_am_or
ድመቷ ከሞተች በኋላ ደስተኛ አልነበረችም።,Erga Adurreen ishee duutee gammachuu hin qabdu.,She was not happy after the cat died.,2,trilingual,en_am_or
በጣም አስፈላጊ ከሆነ ብቻ አቋርጠኝ።,Yoo baay'ee barbaachisaa ta'e qofa na addaan kuta.,Only interrupt me if necessary.,2,trilingual,en_am_or
በቶም ቢሮ ውስጥ ካዝና አለ።,Waajjira Toom keessa seeftiin jira.,There is a safe in Tom's office.,2,trilingual,en_am_or
ቶም የጋብቻ ቀለበቱን በተሳሳተ እጁ ለብሷል።,Toom qalabata gaa'ela isaa harka dogoggoraa irratti hidhateera.,Tom is wearing his wedding ring on the wrong hand.,2,trilingual,en_am_or
ህይወታችንን የማጣት አደጋ ላይ ነበርን።,Balaa lubbuu keenya dhabuu keessa turre.,ERROR: The read operation timed out.,2,trilingual,en_am_or
ስፓኒሽ ቀላል ነው።,Afaanni Speen salphaadha.,Spanish is easy.,2,trilingual,en_am_or
ፈረንሳይኛ መማር አስደሳች ነው።,Afaan Faransaayii barachuun nama gammachiisa.,Learning French is fun.,2,trilingual,en_am_or
የቶም ልደት ትናንት ነበር።,Guyyaan dhaloota Toom kaleessa ture.,Tom's birthday was yesterday.,2,trilingual,en_am_or
ስሜ እንድታወስ እፈልጋለሁ።,Maqaan koo akka yaadatamu nan barbaada.,I want you to remember my name.,2,trilingual,en_am_or
ሰወች እንደ ኦድሪ ሄፕበርን አይነግሩህም።,Namoonni Audrey Hepburn fakkaatta sitti hin himan.,People don't tell you like Audrey Hepburn.,2,trilingual,en_am_or
እሱን ልመታው ብየ አይደለም።,Isa rukutuuf jedhee hin turre.,I'm not going to hit him.,2,trilingual,en_am_or
የተያዘው ምንድን ነው?,Maal qabe?,What is the catch?,2,trilingual,en_am_or
ቶም በጥንቃቄ ተመልክቷል።,Toom of eeggannoodhaan ilaale.,Tom watched carefully.,2,trilingual,en_am_or
ፍቅር ከሞት ይበልጣል።,Du'a caalaa jaalalli cimaadha.,Love is greater than death.,2,trilingual,en_am_or
ፖም ጣፋጭ ነው።,Appiliin mi'aawaa dha.,Apple is sweet.,2,trilingual,en_am_or
በምናምነው በእግዚአብሄር።,Waaqayyotti amananna.,in god we trust.,2,trilingual,en_am_or
ምን ያህል ተጨማሪ ስራ አለህ?,Hojii dabalataa akkamii qabda?,How much more work do you have?,2,trilingual,en_am_or
ብዙ የሚደረጉ ነገሮች አሉ።,Wantoonni hojjetamuu qaban baay'eedha.,There are many things to do.,2,trilingual,en_am_or
መጥረጊያውን በመደርደሪያው ውስጥ ያስቀምጡት።,Haxooftuu kana sheelfiirra kaa'i.,Place the broom in the drawer.,2,trilingual,en_am_or
ለስራ ወላጆች ነፃ ጊዜ በዋጋ ነው።,Yeroon bilisaa warra hojjetaniif gatii guddaa qaba.,Free time is at a premium for working parents.,2,trilingual,en_am_or
ብርሃኑ አይሰራም።,Ifnitichi hin hojjetu.,The light does not work.,2,trilingual,en_am_or
ለምን ቀድመህ አልመጣህም?,Maaliif dursitee hin dhufne?,Why didn't you come earlier?,2,trilingual,en_am_or
ቶም በፀሃይ ተቃጥሏል።,Toom aduudhaan gubate.,Tom got sunburned.,2,trilingual,en_am_or
"ስራየን ለመለወጥ አስቤ ነበር, ግን በመጨረሻ ላለማድረግ ወሰንኩ።","Hojii koo jijjiiruuf yaadeen ture, dhumarratti garuu akkan hin goone murteesse.","I thought about changing careers, but in the end I decided not to.",2,trilingual,en_am_or
ሁሉንም እርዳታህን አደንቃለሁ።,Gargaarsa kee hunda nan dinqisiifadha.,I appreciate all your help.,2,trilingual,en_am_or
ብዙም አልተኛም።,Baay'ee hin rafne.,I don't sleep much.,2,trilingual,en_am_or
ቶም ሃሳብ አቀረበ።,Toom yaada dhiheesse.,Tom suggested.,2,trilingual,en_am_or
ቤት ውስጥ ያለው ማነው?,Mana keessa kan jiru eenyudha?,Who is in the house?,2,trilingual,en_am_or
ዘፈን ልትዘፍንልን ትችላለህ።,Sirba nuuf sirbuu dandeessaa.,You can sing us a song.,2,trilingual,en_am_or
ማጉረምረም አልችልም።,Iyyachuu hin danda'u.,I can't complain.,2,trilingual,en_am_or
ቶም ልክ እንደኔ መጠን ነው።,Toom ana wajjin wal qixadha.,Tom is the same size as me.,2,trilingual,en_am_or
ታዋቂ ሆነች።,Isheenis beekamtii argatte.,She became famous.,2,trilingual,en_am_or
ይህ ምንም አልገባኝም።,Kana keessaa tokkollee naaf hin galle.,I don't understand this at all.,2,trilingual,en_am_or
"የእርስወን መጠን አለን, ነገር ግን በዚያ ቀለም ውስጥ አይደለም።","Hamma isin gahu qabna, garuu halluu sanaan miti.","We have your size, but not in that color.",2,trilingual,en_am_or
ቤዝቦል እጫወት ነበር።,Beeysiboolii nan taphata ture.,I used to play baseball.,2,trilingual,en_am_or
ቶም አሁን ስብሰባ ላይ ነው።,Toom yeroo ammaa kana walgahii irra jira.,Tom is in a meeting now.,2,trilingual,en_am_or
ማንም ሰው ለምን እንደዚህ ያለ ነገር ለመስረቅ እንደሚፈልግ መገመት አልችልም።,Namni kamiyyuu maaliif waan akkasii hatuu akka barbaadu tilmaamuun na rakkisa.,I can't imagine why anyone would want to steal something like that.,2,trilingual,en_am_or
ይህን እቃ ከዚህ አውጣ።,Waan kana as keessaa baasi.,Get this item out of here.,2,trilingual,en_am_or
ጠመንጃችንን መጠቀም እንደሌለብን ተስፋ እናድርግ።,Qawwee keenya fayyadamuu akka hin qabne qofa abdiin qaba.,Let's hope we don't have to use our guns.,2,trilingual,en_am_or
መደርደሪያህ በመፅሃፍ የተሞላ ነው።,Sheelfiin kee kitaabotaan guutameera.,Your shelves are full of books.,2,trilingual,en_am_or
ተከታተልኩት።,Ani isa duukaa bu'e.,I followed it.,2,trilingual,en_am_or
መሄድ ወይም አለመሄድ ምንም ለውጥ አያመጣም።,Deemtees deemuu baattus garaagarummaa hin qabu.,It doesn't matter if you go or not.,2,trilingual,en_am_or
የሆድ እጢ ገጥሞኝ ቀዶ ጥገና ማድረግ ነበረብኝ።,Garaan dhukkubbiin waan na mudateef baqaqsanii hodhuun narra ture.,I had a stomach tumor and had to have surgery.,2,trilingual,en_am_or
መፅሃፍ እያነበብኩ ነበር።,Kitaaba dubbisaa ture.,I was reading a book.,2,trilingual,en_am_or
ወላጆቸ አለባበሴን አይወዱም።,Warri koo akkaataan ani itti uffadhu hin jaallatan.,My parents don't like my clothes.,2,trilingual,en_am_or
መለወጥ ፈልጌ ነበር።,Jijjiiramuu barbaade ture.,I wanted to change.,2,trilingual,en_am_or
የእሱ ትችቶች በጣም ከባድ ነበሩ።,Qeeqni isaa baayyee cimaa ture.,His criticisms were very harsh.,2,trilingual,en_am_or
እሱ በጣም ተከላካይ ነው።,Inni baay'ee eegumsatti cimaadha.,He is very protective.,2,trilingual,en_am_or
ለቶም ምን ማድረግ እንዳለብወት መንገር አለብወት።,Maal gochuu akka qabu Toomitti himuu qabda.,You have to tell Tom what to do.,2,trilingual,en_am_or
በስብሰባው መጨረሻ ላይ ስልክ ቁጥሮች ተለዋወጥን።,Xumura walga'ii sanaa irratti lakkoofsa bilbilaa wal jijjiirre.,At the end of the meeting we exchanged phone numbers.,2,trilingual,en_am_or
ጓደኞቸ ሁሉም ባለትዳር ናቸው።,Hiriyoonni koo hundi isaanii gaa'ela godhataniiru.,His friends are all married.,2,trilingual,en_am_or
ልጁን ከተቃጠለበት ቤት አዳነው።,Daa'ima kana mana gubate keessaa baraare.,He saved his son from a burning house.,2,trilingual,en_am_or
አንድ ኢንች ስጠው ግቢ ይወስዳል።,Inchii tokko kennitee yaardii tokko fudhata.,Give him an inch and he'll take a yard.,2,trilingual,en_am_or
ቶም ነገ ይህን ያደርጋል ብየ አስባለሁ።,Toom boru akkas godha jedheen yaada.,I think Tom will do this tomorrow.,2,trilingual,en_am_or
ዛሬ አሳ ማጥመድ የለብህም።,Har'a qurxummii qabuu hin qabdu.,You don't have to go fishing today.,2,trilingual,en_am_or
ትክክለኛውን ውሳኔ እናደርጋለን።,Murtoo sirrii ta'e ni murteessina.,We will make the right decision.,2,trilingual,en_am_or
ከንግድህ አላወራህም።,Kana booda si waliin hin dubbadhu.,I'm not talking you out of your business.,2,trilingual,en_am_or
ነገ ያንን ማድረግ ያለብኝ ይመስለኛል።,Boru akkas gochuu qaba jedheen yaada.,I think I'll have to do that tomorrow.,2,trilingual,en_am_or
ከቸኮሉ ትኬቶች አሁንም ይገኛሉ።,Yoo ariifattan ammallee tikkeettiin ni argama.,"If you hurry, tickets are still available.",2,trilingual,en_am_or
ትናንት ማታ በዘጠኝ ሰአት ቴሌቪዥን እየተመለከቱ ነበር።,Halkan edaa sa'aatii sagalitti TV ilaalaa turtanii.,They were watching television at nine o'clock last night.,2,trilingual,en_am_or
የሆነ ነገር አይቻለሁ።,Waan ta'e argeera.,I saw something.,2,trilingual,en_am_or
ስራየን ስጨርስ እረዳሃለሁ።,Hojii koo yeroon xumuru sin gargaara.,I will help you when I finish our work.,2,trilingual,en_am_or
ሃሳቤን ቀይሬያለሁ።,Yaada koo jijjiireera.,I changed my mind.,2,trilingual,en_am_or
አንድ ጠቃሚ ነገር ልነግርህ ነው የመጣሁት።,Waan barbaachisaa sitti himuufan as dhufe.,I have come to tell you something important.,2,trilingual,en_am_or
ከእስር ቤት አምልጠዋል።,Mana hidhaa keessaa miliqan.,They escaped from prison.,2,trilingual,en_am_or
ስለ ጉዳዩ ልንነግረው ይገባል።,Waa'ee isaa itti himuu qabna.,We should tell him about it.,2,trilingual,en_am_or
