Amharic,Oromo,English
ማን መጠጥ ያስፈልገዋል?,Eenyuutu dhugaatii barbaada?,Who needs a drink?
መኪናውን አልገዛሁትም።,Konkolaataa hin bitanne.,ERROR: The read operation timed out.
ልሸኝህ።,Si waliin deemuu danda'aa.,let me accompany you.
ኖርዌይ በጣም ዝቅተኛ የህዝብ ብዛት አላት።,Noorweey baay'inna ummataa baay'ee gadi aanaa qabdi.,Norway has a very low population density.
በእያንዳንዱ እሁድ ወደ ቤተ ክርስቲያን እሄዳለሁ።,dilbata hunda gara waldaa nan deema.,I go to church every Sunday.
ይህን ሁሉ ቆሻሻ እያስወገድኩ ነው።,Balfa kana hunda ofirraa baasaan jira.,I'm getting rid of all this junk.
በንግድ ስራ ተጓዘ።,Daldalaaf imala ture.,He traveled on business.
እስከ አስር ድረስ ጠበኩት።,Hanga kudhanitti isa eege.,I waited until ten.
ስርአተ ጥለት ማየት ጀምሬያለሁ።,Seera malummaa ilaaluu eegalleerra.,I'm starting to see a pattern.
ጊዜህን አታጥፋ።,Yeroo kee hin gubinaa.,Don't waste your time.
ኩባንያችን በርካታ ባህላዊ ዝግጅቶችን ይደግፋል።,Dhaabbanni keenya taateewwan aadaa hedduu ni deeggara.,Our company sponsors many cultural events.
መንገዱን ሲያቋርጡ መኪናወችን ይመልከቱ።,Yeroo karaa qaxxaamurtan konkolaataa ilaalaa.,Watch for cars when crossing the road.
ለአለቃወ የገና ስጦታ ይሰጣሉ።,Hogganaaf kennaa ayyaana masqalaa ni kennuu.,They give Christmas presents to those who don't mind.
የማይቀር መሆኑን አውቃለሁ።,Akka hin oolle nan beeka.,I know it's inevitable.
እውነቱን ልነግራት ይገባ ነበር።,Dhugaa jiru itti himuun qaba ture.,I should have told her the truth.
ከሱ አታመልጥም።,Ati jalaa hin baatu.,You will not escape it.
ሌላ ሰው አይተሃል።,Nama biraa argitee.,You saw someone else.
ያለማቋረጥ ደብዳቤ ትፅፋለች።,Yeroo hunda xalayaa barreessaa jirti.,She writes letters constantly.
ለራስህ ጥቅም በጣም ጎበዝ ነህ።,Faayidaa keetiif baay'ee cimaadha.,You're too smart for your own good.
ባለ አንድ መስመር አእምሮ አለህ።,Sammuu karaa tokkoo qabda.,You have a one-track mind.
ያንን ማድረግ እንደምንችል አላውቅም።,Akkas gochuu dandeenyaa keenya hin beeku.,I don't know if we can do that.
በአንድ ወር ጊዜ ውስጥ መልሰው ከከፈሉ ገንዘቡን ብበደርወ አይከፋኝም።,Ji'a tokko keessatti yoo deebifte maallaqa sana siif liqeessuun na hin dhibu.,I don't mind lending the money if you pay it back within a month.
በበጋ ወቅት የጥጥ ሸሚዞችን እለብሳለሁ።,Bona shamizii suufiin uffadha.,I wear cotton shirts in summer.
ታናሽ እህቷን በጣም እወዳታለሁ።,Obboleettii ishee quxisuu baay'een jaalladha.,I love her little sister so much.
ሞት ተፈርዶበታል።,Du'aatu itti murtaa'e.,He was sentenced to death.
ሚስትህ ስለ ጉዳዩ ምን ይሰማታል?,Haadha manaa keetti waaʼee kanaa maaltu itti dhagaʼama?,How does your wife feel about it?
በተሳሳተ ባቡር ላይ ነን።,Baabura dogoggoraa irra jirra.,We are on the wrong train.
ስለ እኔ ብዙ ነገር የምታውቅ ትመስላለህ።,Waa'ee koo waan heedduu waan beektu fakkaata.,You seem to know a lot about me.
ቀጥተኛ ነህ።,Kallattiidhani.,You are straightforward.
ዶክተሩ ለስራ ብቁ አይደለሁም አለ።,Doktarrichi hojiif gahaa miti jedhe.,The doctor said I am not fit for work.
"ጠንካራ መጠጥ የሚያስፈልገኝ ይመስለኛል። ""ይህን ሁለት አድርግ።""።","Dhugaatii jabaa na barbaachisa jedheen yaada. ""Sana lama godhi."".","I think I need a strong drink.""Make this two.""."
ይህ መኪና ጥሩ ዋስትና አለው።,Konkolaataan kun wabii gaarii qaba.,This car has a good warranty.
ቶም የእናቱ አይኖች አሉት።,Toom ija haadha isaa qaba.,Tom has his mother's eyes.
ክሱን አስተባብሏል።,Himata kana haaleera.,He denied the allegations.
ጠፍቻለሁ።,Dhabeera.,I'm lost.
ፊቱን ዳግመኛ አይቸው አላውቅም።,Amma booda fuula isaa argee hin beeku.,I never saw his face again.
ላንተ አልሰራም።,Ani siif hin hojjedhu.,It doesn't work for you.
እቅድህ ምን እንደሆነ ማወቅ ይፈልጋሉ።,Karoorri kee maal akka ta'e beekuu barbaadu.,They want to know what your plan is.
ችግሩ አስቀድሞ ተፈቷል።,Rakkoon kun duraanuu furmaata argateeraa.,The problem has already been solved.
ፓስፖርትወን ማደስ ያስፈልግወታል።,Paaspoortii keessan haaromsuu qabdu.,You need to renew your passport.
የመሬት መንቀጥቀጡ እስካሁን ካጋጠመን ትልቁ ነው።,Kirkirri lafaa hanga ammaa nu mudate keessa isa guddaadha.,The earthquake is the biggest we have ever experienced.
"በፀሃይ ውስጥ ተቀምጫለሁ, ግን አሁንም ቀዝቃዛ ነኝ።","Aduu keessa taa'een jira, garuu ammallee qorra jira.","I sit in the sun, but I'm still cold."
አልተገናኘንም።,Wal hin argine.,We haven't met.
ታላቅ እህቷን በጣም እወዳታለሁ።,Obboleettii ishee hangafaa baay'een jaalladha.,I love her big sister so much.
ፊልሙ 85 ደቂቃ ፈጅቷል።,Fiilmiin kun daqiiqaa 85 fudhateera.,The film was 85 minutes long.
አልቸኩልም።,Ani ariifadhee hin jiru.,I'm not in a hurry.
በፈረንሳይኛ ተናገር።,Afaan Faransaayiin jedhi.,Speak in French.
ለምን ለዚያ ስራ አይያመለክቱም?,Hojii sanaaf maaliif hin iyyattu?,Why don't you apply for that job?
ነገሮች በጣም ጥሩ ናቸው።,Wantoonni haala gaarirra jiru.,Things are great.
ሁሉም ተቀመጡ።,Hundi isaanii taa'an.,They all sat down.
አስፈላጊ ነው ብለሃል።,Barbaachisaa dha jette.,You said it was important.
ይህ ማስታወሻ ደብተር ቢጫ ነው።,Dabtarri yaadannoo kun keelloo dha.,This notebook is yellow.
ካሊግራፊን መማር አስደሳች ነው።,Kaaligiraafii barachuun nama gammachiisa.,Learning calligraphy is fun.
ቁልፉን ለቶም ሰጥተሃል።,Furtuu Toomiif kenniteettaa.,You gave the key to Tom.
ቶም ሲወጣ ምን ያህል ቢራ እንደሚጠጣ ትገረማለህ።,Toom yeroo bahu biiraa hammam akka dhugu ni ajaa'ibsiifatta.,You'd be surprised how much beer Tom drinks when he goes out.
ቶም ከእናቱ ይበልጣል።,Toom haadha isaa caalaa.,Tom is older than his mother.
አልጋ ላይ ነኝ እያነበብኩ ነው።,Siree irra taa'ee dubbisaan jira.,I'm in bed reading.
ልረዳህ እንደማልችል እፈራለሁ። ሌላ ሰው መጠየቅ አለብህ።,Si gargaaruu hin danda'u jedheen sodaadha. Nama biraa gaafachuu qabda.,I'm afraid I can't help you.You have to ask someone else.
ወለሉ ላይ የሆነ ነገር አለ።,Lafa irra wanti ta'e jiraa.,There is something on the floor.
እያየሁት መቆም አልቻልኩም።,Utuun ilaaluu obsuu hin dandeenye.,I couldn't stop looking at it.
ሁሉም ይጠላኛል።,Namni hundi na jibba.,Everyone hates me.
ይህን ሳህን ተጠቀምኩኝ።,Saanii kana fayyadameen ture.,I used this plate.
ምን ላይ ነው ፈገግ የምትለው?,Maal kolfaa jirta?,What are you smiling at?
የቶም አይኖች በእንባ ተሞልተዋል።,Ijji Toom imimmaaniin guuteera.,Tom's eyes filled with tears.
እዚህ ብቻ ገብተህ ፖሊሲን ማዘዝ መጀመር አትችልም።,As qofa seentee imaammata ajajuu eegaluu hin dandeessu.,You can't just log in here and start ordering a policy.
ያለ እኔ ስብሰባውን ጀመሩ።,Walgahii ana malee jalqaban.,They started the meeting without me.
መስኮቶቹን ለምን ከፈትክ?,Maaliif foddaa banatte?,Why did you open the windows?
በባዶ እጆችወ ጥንቸልን ለመያዝ ቀላል አይደለም።,Harka qullaa hilleetti qabuun salphaa miti.,It is not easy to catch a rabbit with bare hands.
እየተናደድኩ ነው።,Aaran jira.,I'm getting angry.
ጥቁር ልብስ የለበሰው ጨዋ ማን ነው?,Uffata gurraacha kan uffate namni gaariin eenyudha?,Who is the gentleman dressed in black?
ደካማ የምግብ ፍላጎት አለኝ።,Fedhii nyaataa gaarii hin qabu.,I have a poor appetite.
ቶም ማርያም ስራ እንደበዛባት ያውቅ ነበር።,Toom Maariyaam hojiin akka isheetti baayʼatu beeka ture.,Tom knew Mary was busy.
እንደት ያለ የሚያምር ትእይንት ነው።,Taatee akkam bareedaadha.,It is such a beautiful scene.
ይህንን ለማድረግ የበለጠ ቀልጣፋ መንገድ መኖር አለበት።,Kana gochuuf karaan bu'a qabeessa ta'e jiraachuu qaba.,There must be a more efficient way to do this.
በሩን ጎትታ ወጣች።,Balbala harkiftee bante.,She pulled the door open.
ቅዳሜ ፈፅሞ አልሰራም ማለት ይቻላል።,Sanbata hojjedheen hin beeku jechuun ni danda'ama.,I almost never work on Saturdays.
ሌላ ነገር ማለት ይፈልጋሉ።,Waan biraa jechuu barbaaddaa.,They want to say something else.
ቶም ደካማ ነው ብየ አምናለሁ።,Toom dadhabaadha jedheen amana.,I believe Tom is weak.
ቶም ማንም እንድነካው አይፈቅድም።,Toom namni tokkollee akka tuqu hin hayyamu.,Tom won't let anyone touch him.
እባክህ አንድ ደርዘን የክሬም ፓፍ ስጠኝ።,Mee cream puffs daarsa tokko naaf kenni.,"Give me a dozen cream puffs, please."
እኔ አንተ ብሆን አወ እላለሁ።,Osoon si ta'ee eeyyee nan jedha.,"If I were you, I would say aww."
የትራፊክ መጨናነቅ ነበር።,Haala Tiraafikaa ulfaatatu ture.,There was a traffic jam.
አስቀድሜ ሁሉም ሰው ወደ ቤት እንድሄድ ነግሬአለሁ።,Dursee namni hundi gara manaatti akka deebi'u dubbadheen ture.,I already told everyone to go home.
ያ የሚሰራ አይመስለኝም።,Sun waan hojjetu natti hin fakkaatu.,I don't think that works.
ቶም አስፈራራኝ።,Toom na doorsise.,Tom scared me.
የሰርጋቸውን ቀን እና ቦታ ወሰኑ።,Guyyaa fi bakka cidha isaanii itti raawwatamu murteessan.,They decided on a date and place for their wedding.
ደንቦቹን ማረጋገጥ አለብኝ።,Seerota ilaaluu qabna.,I have to check the rules.
አሳ እንደት እንደሚይዝ አሳያችኋለሁ።,Akkaataa qurxummii itti qabattan isinitti agarsiisa.,I'll show you how to handle a fish.
ድሩን በመቃኘት ብዙ ጊዜ ታጠፋለች።,Yeroo baay'ee marsariitii daawwachuudhaan dabarsiti.,She spends a lot of time surfing the web.
መልእክት በእሁድ ይላካል።,Dilbata poostaan ni dhiyaataa.,Message will be sent on Sunday.
ሌላ ወንድምህ የት አለ?,Obboleessi kee inni kaan eessa jira?,Where is your other brother?
አንድ ቢራ እባክህ።,Maaloo Biiraa tokko.,"A beer, please."
ማንም ሰው በፍጥነት መንቀሳቀስ እንደሚችል አላውቅም ነበር።,Namni kamiyyuu saffisaan socho'uu akka danda'u hin beeku ture.,I didn't know anyone could move so fast.
የተወሰኑ ጥያቄወች መልስ ሳያገኙ ቀርተዋል።,Gaaffiiwwan tokko tokko deebii hin arganne.,Some questions remain unanswered.
ለጥያቄወችህ መልስ ሰጥቻለሁ። አሁን ጥቂቶቹን ልጠይቅህ።,Gaaffii keessaniif deebii kenneera. Amma mee muraasa isin gaafadha.,I have answered your questions.Now let me ask you a few.
እህትህ ከቀዶ ጥገናዋ በኋላ ከአደጋ መውጣቷን በመስማቴ ደስ ብሎኛል።,Obboleettiin kee baqaqsanii hodhuu booda balaa irraa akka baate dhaga'uun na gammachiisa.,Glad to hear your sister is safe after her surgery.
የማወቅ ጉጉት ድመቷን ገደለው።,Fedhiin beekuuf qabu saree sana ajjeese.,Curiosity killed the cat.
ጨካኝ መሆን ማለት አይደለም። ተፈጥሮው ብቻ ነው።,Gadhee ta'uu jechuu miti. Uumama isaa qofa.,It doesn't mean to be mean.It's just nature.
ቶም አፍንጫውን ወደ መስኮቱ ገፋው።,Toom hidhii isaa foddaa irratti dhiibe.,Tom pushed his nose against the window.
ስለ ስሜቶችወ ማውራት ከባድ ነው።,Waa'ee miira kee dubbachuun rakkisaadha.,It's hard to talk about your feelings.
ያለብህን ጫና የገባኝ ይመስለኛል።,Dhiibbaa isin jala jirtu waanan hubadhe natti fakkaata.,I think I understand the pressure you are under.
በትክክል ጥሩ አድርገሃል ብየ አስብ ነበር።,Ati waan gaarii hojjette jedheen yaade.,I thought you did really well.
"መፅሃፎችህ የት አሉ? ""በጠረጴዛው ላይ ናቸው።""።","Kitaabonni keessan eessa jiru? ""Isaan deeskii irra jiru."".","Where are your books ""They are on the table.""."
ማን የማይመጣ።,Eenyuutu hin dhufne.,Who does not come.
ልጀ ሃኪም ያስፈልገዋል።,Mucaan koo doktora barbaada.,My son needs a doctor.
አንድት ወጣት ልጅ እርዳታ ስትጠራ ሰማሁ።,Intalti xiqqoo tokko gargaarsa gaafachuuf waamtu dhaga'e.,I heard a young girl calling for help.
ቶም በአቅራቢያው በሚገኝ ሬስቶራንት ውስጥ ይሰራል።,Toom mana nyaataa dhiyoo jiru tokko keessatti hojjeta.,Tom works in a nearby restaurant.
ለማቆም ሌላ ቦታ የለም።,Bakki biraa itti konkolaataa dhaabu hin jiru.,There is no other place to stop.
ይህንን ሁሉ ማስተካከል ይችላሉ።,Kana hunda sirreessuu dandeessa.,You can fix all this.
በኪንግ ምርምር ውስጥ የተጠቀሰው መረጃ የተወሰደው በ1970 ዩኔስኮ ከወጣው የነጭ ወረቀት የአለም ህዝብን ነው።,Qorannoo Kiingii keessaa kan fudhatame bara 1970 baay'inni uummata UNSCO irratti waraqaa adiidha.,The information cited in King's research was taken from a 1970 UNESCO white paper on world population.
እንድትሄድ እየጠበኩህ ነው።,Akka ati deemtu si eegaa jira.,I'm waiting for you to go.
በመፅሄቱ ውስጥ ወጣሁ።,Barruulee sana keessaa kan baafamedhe.,I came out in the magazine.
ቶም ለገና ምን አገኛችሁ?,Toom ayyaana masqalaa irratti maal siif fide?,What did Tom get you for Christmas?
ይህ አልማዝ እውን አይደለም።,Daayimandi kun dhugaa miti.,This diamond is not real.
የሆነ ነገር እንደሰማሁ እርግጠኛ ነበርኩ።,Waan tokko akkan dhaga'e mirkanaa'aa ture.,I was sure I heard something.
ብሬክስ ላይ የሆነ ችግር አለ።,Bireekiin irra ta'ee jira.,There is something wrong with the brakes.
ካንተ ጋር ስሆን መቸም አይሰለቸኝም።,Yeroon si waliin jiru gonkumaa hin nuffisiisu.,I'm never bored when I'm with you.
ካርታውን እንፈትሽ።,Mee kaartaa haa ilaallu.,Let's check the map.
ጥሩ መነፅር እፈልጋለሁ።,Fuullee ijaa gaariin barbaada.,I want good glasses.
ቅንድቡን በማንሳት ተቃውሞውን አሳይቷል።,Innis ija ol kaasuun fudhatama dhabuu isaa agarsiise.,ERROR: The read operation timed out.
ደንቡ በእኛ ጉዳይ ላይ አይተገበርም።,Seerri kun dhimma keenya irratti raawwatiinsa hin qabu.,The rule does not apply in our case.
ፍላጎት ያላት አይመስልም።,Fedhii waan qabdu hin fakkaatu.,She didn't seem interested.
ያ ቆሻሻ ስራ ነው እና መስራት አልፈልግም።,Sun hojii xuraa'aa waan ta'eef hojjechuu hin barbaadu.,That's dirty work and I don't want to do it.
አድሱን ስራወን እንደት ይወዳሉ።,Hojiin haaraan keessan akkam isinitti tola.,They like the new work.
ክለቡ በስንት ሰአት ነው የሚከፈተው?,Kilabichi sa'aatii meeqatti banama?,What time does the club open?
ምንም ቀጠሮ አያስፈልግም።,Beellamni tokkollee hin barbaachisu.,No appointment is required.
ሁለቱ ወንድማማቾች በጣም ተመሳሳይ ናቸው።,Obbolaan lamaan kun baay'ee wal fakkaatu.,The two brothers are very similar.
ማንም እርግጠኛ አልነበረም።,Namni guutummaatti mirkaneeffate hin turre.,No one was sure.
ያንን መኪና በጣም ወድጀዋለሁ።,Konkolaataa sana baay'een jaalladha.,I really like that car.
አየር ማረፊያው የት ነው?,Buufatni xiyyaaraa eessa jira?,Where is the airport?
ቶም በአደጋ ግራ እጁን ቆሰለ።,Toom balaa mudateen harka bitaa isaa miidhame.,Tom injured his left arm in an accident.
ቶም ለማርያም ደብዳቤወች ለምን አልመለሰም?,Toom xalayaa Maariyaam maaliif hin deebisne?,Why didn't Tom answer Mary's letters?
እሱ የሚንከባከበው ሶስት ትናንሽ ልጆች ያሉት ባልቴት ነው።,Inni nama abbaan manaa irraa du'ee fi ijoollee xixiqqoo sadii kunuunsu qabudha.,He is a widow with three young children to take care of.
ጋዜጣውን የት አስቀመጥከው?,Gaazexaa eessa kaa'atte?,Where did you put the newspaper?
በዚህ አጋጣሚ ጓጉቻለሁ።,Carraa kanaan gammadeera.,I am excited about this opportunity.
እንዳታደርግ ነግሬሃለሁ።,Akka hin goone sitti himeera.,I told you not to.
ሁለት ኬኮች ነበሩ።,Keekii lamatu ture.,There were two cakes.
ደግነቱን ልረሳው አልችልም።,Gaarummaa isaa dagachuu hin danda'u.,I will never forget his kindness.
ይቅርታ ይህ መቀመጫ ነፃ ነው።,"Dhiifama, teessoo kun bilisadhaa.","Sorry, this seat is free."
ብዙ ጓደኞች አሏት።,Hiriyyoota hedduu qabdi.,She has many friends.
ፖሊሲውን የሚቃወሙትንም አውግዟል።,Warra imaammata isaa morman balaaleffate.,He also condemned those who opposed the policy.
እኔ ከሱ የተሻልኩ ነኝ።,Ani isa caala.,I am better than him.
አንድ አመት አስራ ሁለት ወራት አሉት።,Waggaan tokko ji'a kudha lama qaba.,A year has twelve months.
በድንጋጤ ውስጥ እየተንከራተተ ነው።,Yaaddoo keessa naanna'aa jira.,He's wandering around in a daze.
በጎች ሳር ይበላሉ።,Hoolonni marga nyaatu.,Sheep eat grass.
እኔ አስተማሪ ብቻ ነኝ።,Ani barsiisaa qofa.,I am only a teacher.
ለምን አልሰማሽኝም?,Maaliif na hin dhaggeeffanne?,Why didn't you hear me?
ሂሳቡን አስተካክለውታል።,Kaffaltii sana sirreessiteettaa.,I fixed the bill.
በጥላቻ ተመለከተችው።,Isheenis jibbaan isa ilaalte.,She looked at him with disgust.
የበለጠ እየበራ ነው።,Irra caalaa ifee jira.,It's getting brighter.
ከጥቂት ቀናት በፊት ሆስፒታል ነበርኩ።,Guyyoota muraasa dura hospitaalan ture.,I was in the hospital a few days ago.
እኔ የምሄድበት ቦታ አይደለም።,Bakka ani deemu sana miti.,It's not where I'm going.
በተሻለ ጊዜ ሊመጣ አይችልም ነበር።,Yeroo kana caalu dhufuu hin danda'u ture.,It could not have come at a better time.
ማንም ይህን ማድረግ ይችላል።,Namni kamiyyuu akkas gochuu danda'a.,Anyone can do this.
እያሰብኩ ነበር።,Yaadaan ture.,I was thinking.
ሁለቱም ወንድሞች ሙዚቀኞች ናቸው።,Obbolaan lamaan muuziqeessitoota.,Both brothers are musicians.
በየቀኑ እንግሊዝኛ ያጠናል።,Guyyaa guyyaan Afaan Ingilizii ni barataa.,He studies English every day.
አየር ማረፊያው ተዘግቷል።,Buufatni xiyyaaraa cufaadha.,The airport is closed.
ስህተት የማይሰራ ሰው ምንም የማይሰራ ሰው ነው።,Namni gonkumaa hin dogoggorre nama homaa hin hojjennedha.,A person who does not make mistakes is a person who does nothing.
ያንን ከለበስክ ሞኝ ትመስላለህ።,Yoo sana uffatte gowwaa fakkaachuuf jirta.,You look silly wearing that.
ስህተት ወይም ምን እንደሆነ አላውቅም፣ ግን ይህ ሶፍትዌር በትክክል አይሰራም።,"Dogongora yookin maal akka ta'e hin beekun, garuu mosaajiin kun sirritti hin hojjetu.","I don't know if it's a bug or what, but this software doesn't work properly."
ወተት አጥተናል።,Aannan dhumeera.,We ran out of milk.
እንደት እንደሚዋኝ ያውቃል።,Daakaa ni beeka.,He knows how to swim.
ስንደውን ወደ ዱቄት ያፈጫሉ።,Qamadii gara daakuutti caccabsu.,They grind the wheat into flour.
አየሩ በጣም መጥፎ ነው።,Haalli qilleensaa baayyee hamaadha.,The weather is very bad.
የምታገኘውን ያህል ገንዘብ ታጠፋለች።,Maallaqa hamma argattu baafti.,She spends as much money as she earns.
ያ ብእርህ ነው።,Kun kobbee keetii.,That's your pen.
እንደገና ይሆናል።,Ammas ni ta'a.,It will happen again.
ከኦክ ዛፍ ላይ አንዳንድ ቅርንጫፎችን ቆረጠ።,Muka ook irraa damee tokko tokko kute.,He cut some branches from the oak tree.
አባቱ ድሃ በመሆናቸው ያፍራል።,Abbaan isaa hiyyeessa ta'uu isaatiin ni qaana'a.,His father is ashamed of being poor.
በታዋቂ አርክቴክት የተሰራው ይህ ቤት ነው።,Kun mana arkiteektii beekamaa tokkoon dizaayiniin isaa hojjetamedha.,This house is designed by a famous architect.
ቶም ከእኛ ጋር ቁማር ተጫውቷል።,Toom nu waliin qumaara taphachaa ture.,Tom gambled with us.
አጥቂዋን ጮክ ብላ በመጮህ ማስፈራራት ችላለች።,Sagalee guddaan iyyuudhaan nama ishee haleelu sodaachisuu dandeesseetti.,She managed to intimidate her attacker by shouting loudly.
የምናጣው ነገር የለንም ብየ እገምታለሁ።,Waan dhabnu hin qabnu jedheen yaada.,I guess we have nothing to lose.
ፓስፖርትወን እና ሶስት ስእሎችን እፈልጋለሁ።,Paaspoortii kee fi suuraa sadii na barbaachisa.,I need a passport and three pictures.
እዚያ ለመራመድ አስር ደቂቃ ብቻ ፈጅቷል።,Achi deemuf daqiiqa kudhan qofa fudhate.,It only took ten minutes to walk there.
ዳግም ደስተኛ አልሆንም።,Amma booda yoomiyyuu hin gammadu.,I will never be happy again.
ምናልባት ይህን ማድረግ የለብኝም።,Kana gochuu hin qabu ta'a.,Maybe I shouldn't do this.
የማውቀውን አስቀድሜ ነግሬያችኋለሁ።,Waanan beeku kanaan dura isinitti himeera.,I have already told you what I know.
ገንዘብ ማግኘት ነበረብኝ።,Maallaqa argachuun qaban ture.,I had to earn money.
ቶም መፅሃፉን ከፍቶ ገፆቹን አገላብጧል።,Toom kitaabicha banee fuula isaa garagalche.,Tom opened the book and turned the pages.
ባቡሩ አንድ ደቂቃ አምልጦታል።,Baaburichi Daqiiqaa tokkoof durse.,The train missed by a minute.
ልናገር።,Mee haa dubbadhu.,Let me speak.
በጉዞ ላይ የሆነ ቦታ መሄድ እፈልጋለሁ።,Imala tokkoof bakka tokko deemuun barbaada.,I want to go somewhere on a trip.
ያ በየቀኑ የሚያዩት ነገር አይደለም።,Sun waan guyyaa guyyaan argitu miti.,That's not something you see every day.
እኔ የምለውን አትሰማም።,Waanan jedhu hin dhageessu.,You don't listen to what I say.
ስፈልገው የነበረው ይህ ነው።,Wanti ani barbaadaa ture kana.,This is what I've been looking for.
የራሱ ጥቅሞች አሉት።,Faayidaa ofii isaa qaba.,It has its advantages.
ቶም ማርያምን ሰደበው።,Toom Maariyamin arrabse.,Tom insults Mary.
የደም መፍሰስን አያቆምም።,Dhiiga dhangalaasu hin dhaabu.,It does not stop the bleeding.
ትናንት ማታ በሩን ከፍተው ተውት።,Halkan edaa balbala banaa dhiiftee.,They left the door open last night.
ባዶ እግሬን በሳሩ ላይ መራመድ እወዳለሁ።,Miila qullaa marga irra deemuu nan jaalladha.,I like to walk barefoot on the grass.
ሁለት ሻይ እና ሶስት ቡናወች አዘዝኩ።,Shaayii lamaa fi buna sadii ajaje.,I ordered two teas and three coffees.
ቶም ቆጣሪው ላይ ተደገፈ።,Toom lakkooftuu irratti hirkate.,Tom leaned against the counter.
ማን እንደሆንክ አላውቅም እና ግድ የለኝም።,Eenyu akka taate hin beeku dhimmas hin qabu.,I don't know who you are and I don't care.
ምርጫህን አድርግ።,Filannoo kee godhu.,Make your choice.
በፈለከው መንገድ ሰርቷል።,Akka ati barbaaddetti hojjetee.,It worked the way you wanted.
ቶም ማርያም ከእሱ ጋር እንድትቆይ ይፈልጋል።,Toom Maariyaam akka isa waliin turtu barbaada.,Tom wants Mary to stay with him.
ቶም ለሙዚቃ ጆሮ አለው።,Toom muuziqaaf gurra qaba.,Tom has an ear for music.
ሴት መሆን ሁልጊዜ ቀላል አይደለም።,Yeroo hunda dubartii ta'uun salphaa miti.,Being a woman is not always easy.
ሌላ እድል አጣሁ።,Carraa biraa dhabe.,I missed another chance.
ለእግር ጉዞ ጊዜ የለኝም።,Deemsa miilaf yeroo hin qabu.,I don't have time for a walk.
ቶምን መጠበቅ እፈልጋለሁ።,Toomiin eeguun barbaada.,I want to wait for Tom.
በጋራ ለመስራት ተስማምተዋል።,Waliin hojjechuuf waliigalan.,They agreed to work together.
አውቶቡሱ ላይ የኪስ ቦርሳየን ተሰርቄያለሁ።,Boorsaa koo Atobisii keessatti hatamee ture.,I had my wallet stolen on the bus.
ማንም አያምናቸውም።,Namni isaan amanu hin jiru.,No one believes them.
ያን ያህል ቀላል እንዳይሆን እፈራለሁ።,Akkas salphaa akka hin taane sodaadha.,I'm afraid it won't be that simple.
እዚህ በጥሩ ሁኔታ ይሰራል።,Asitti baayyee gaarii hojjeta.,It works well here.
ዛሬ ማታ እያየኋት ነው።,Galgala kana ishee argaa jira.,I'm seeing her tonight.
በተመሳሳይ ጊዜ ብዙ አያድርጉ።,Yeroo tokkotti waan baay'ee hin hojjetin.,Do not do too much at the same time.
ለአለም አቀፍ ታዳሚወች ሲናገሩ፣።,"Dhaggeeffattoota idil-addunyaa wajjin yeroo dubbannu,.","Speaking to an international audience,."
እንግሊዘኛን ከወትሮው ትንሽ ቀርፋፋ መናገር ጥሩ ይሆናል።,tarii Ingiliffa yeroo biraa caalaa xiqqoo suuta jedhanii dubbachuun gaarii ta'uu danda'a.,It would be nice to speak English a little slower than usual.
ለምርጫው ዝግጁ ነን።,Filannoof qophii taane.,We are ready for the election.
አንድ ሰው ጠፍቷል።,Namni tokko dhabameera.,Someone is missing.
አንተ በጣም ጥሩ ምግብ አብሳይ ነህ።,Dhuguma nyaata bilcheessituu gaarii dha.,You are a very good cook.
በረዶ እየጣለ ነው።,Cabbii roobaa jira.,It is snowing.
ታቅዶ ነበር።,Karoorfamee ture.,It was planned.
በላይኛው መሳቢያ ውስጥ የግጥሚያወች ሳጥን መኖር አለበት።,Baafata gubbaa keessa wal simsiistuun saanduuqaa jiraachuu qaba.,There should be a box of matches in the top drawer.
ጎበዝ ዘፋኝ ነው።,Weellisaa gaarii dha.,He is a talented singer.
ዛሬ የበለጠ እንጠንቀቅ።,Har'a of eeggannoo dabalataa haa goonu.,Let's be more careful today.
ድቡ በጣም የተገራ እና አይነክሰውም።,Risaan kun baayyee kan dammaqee fi hin ciniinu.,The bear is very tame and does not bite.
ቶም ወደ ቤቴ መጣ።,Toom gara mana koo dhufe.,Tom came to my house.
"መጋረጃወቹን ስከፍት, በረዶ ነበር።",Golgaan yeroo banamu qorraa ture.,"When I opened the curtains, it was snowing."
ቶም እዛ እንድሆን ይጠብቀኛል።,Toom achitti akkan argamu na eega.,Tom expects me to be there.
ይህን እንዳደርግ በእውነት ትፈልጋለህ።,Dhuguma akkan kana godhu barbaaddaa.,You really want me to do this.
የመንፈስ ጭንቀት ራስን ማጥፋት ሊያስከትል ይችላል።,Dhiphinni sammuu of ajjeesuutti nama geessuu danda'a.,Depression can lead to suicide.
ቶም ማርያምን ያቀፈበትን የመጨረሻ ጊዜ አስታወሰ።,Toom yerooMaariyam hammate isa dhumaa yaadate.,Tom remembered the last time he had hugged Mary.
እዚህ ትመጣለች።,Kunoo isheen dhufte.,Here she comes.
እርጥበታማ ውሾች ከደረቁ ይልቅ መጥፎ ሽታ አላቸው።,Saroonni jiidha qaban kanneen goggogaa caalaa foolii badaa qabu.,Wet dogs smell worse than dry ones.
ሳጥኑን ለመዝጋት እየሞከርን ነው።,Sanduuqa cufuuf yaalaa jirra.,We are trying to close the box.
